,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
131,Derry,TRUE,131,Derry,"4,714.56","4,655.41","4,714.56","17,852,431.23","1,051.61",963.54,"1,051.61","1,991,034.25","1,015.78","1,044.16","1,044.16","2,127,058.80",40.4,36.93,40.4,"29,931.59",76.86,77.87,77.87,"57,693.62","22,058,149.49","6,617,882",22.31%,"293,267.74","261,124.62","15,701,392.11","8,658,713.00","8,658,713.00","22,535,126.42","24,360,105.11","30,977,987.11"
133,Dix's Grant,TRUE,133,Dix's Grant,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,047",0.00%, -   , -   , -   , -   , -   ,0, -   ,"2,047.00"
134,Dixville,TRUE,134,Dixville,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"16,276",0.00%, -   , -   , -   ,"8,706.00", -   ,0, -   ,"16,276.00"
139,Dorchester,TRUE,139,Dorchester,31.22,33.63,33.63,"127,337.42",15.18,17,17,"32,186.44",8,9,9,"18,333.99", -   , -   , -   , -   , -   , -   , -   , -   ,"177,857.85","78,856",50.55%,"10,200.00","9,082.05","108,083.90","180,839.00","180,839.00","271,745.27","288,922.90","367,778.90"
141,Dover,TRUE,141,Dover,"3,678.75","3,497.35","3,678.75","13,930,189.11","1,043.98",949.58,"1,043.98","1,976,594.84",727.23,726.93,727.23,"1,481,437.32",108.08,104.98,108.08,"80,075.01",62.54,39.21,62.54,"46,334.90","17,514,631.18","7,093,652",28.38%,"370,353.15","329,761.21","10,750,740.39", -   , -   ,"9,173,471.68","10,750,740.39","17,844,392.39"
143,Dublin,TRUE,143,Dublin,133.18,129.57,133.18,"504,307.76",31.75,25.63,31.75,"60,117.26",18.58,17.85,18.58,"37,858.47", -   , -   , -   , -   ,4,1,4,"2,963.48","605,246.97","481,786",23.84%,"9,462.19","8,425.10","131,886.07","14,881.00","14,881.00","76,956.92","146,767.07","628,553.07"
147,Dummer,TRUE,147,Dummer,22.22,22.83,22.83,"86,433.54",7.22,6.98,7.22,"13,663.52",3,2.33,3,"6,111.33", -   , -   , -   , -   , -   ,1,1,740.87,"106,949.26","63,365",31.62%,"2,852.40","2,539.77","46,124.03","50,888.00","50,888.00","81,997.15","97,012.03","160,377.03"
149,Dunbarton,TRUE,149,Dunbarton,455.43,455.26,455.43,"1,724,566.89",29.23,31.76,31.76,"60,134.30",91.41,88.1,91.41,"186,204.69", -   ,0.32,0.32,234.71,4,7,7,"5,186.09","1,976,326.68","723,069",6.97%, -   , -   ,"1,253,257.68", -   , -   ,"1,171,306.75","1,253,257.68","1,976,326.68"
151,Durham,TRUE,151,Durham,928.46,902.52,928.46,"3,515,749.85",51.57,54.39,54.39,"102,970.48",123.86,124.06,124.06,"252,715.92",15.01,10.5,15.01,"11,117.42",10,6,10,"7,408.70","3,889,962.37","2,316,107",5.86%, -   , -   ,"1,573,855.37","12,435.00","12,435.00","1,399,697.37","1,586,290.37","3,902,397.37"
153,East Kingston,TRUE,153,East Kingston,345.96,319,345.96,"1,310,037.06",25.87,15.7,25.87,"48,973.94",46.64,51.95,51.95,"105,821.35",1, -   ,1,740.87,7.66,9,9,"6,667.83","1,472,241.05","692,796",7.48%, -   , -   ,"779,445.05", -   , -   ,"607,328.98","779,445.05","1,472,241.05"
155,Easton,TRUE,155,Easton,27,25.13,27,"102,239.82",6,6.87,6.87,"13,009.95",4,3.13,4,"8,148.44", -   , -   , -   , -   ,1, -   ,1,740.87,"124,139.08","137,664",25.45%, -   , -   , -   , -   , -   ,0, -   ,"137,664.00"
159,Eaton,TRUE,159,Eaton,26.59,26.99,26.99,"102,218.61",5.71,4,5.71,"10,802.53",4.71,3.11,4.71,"9,585.82", -   , -   , -   , -   , -   ,1,1,740.87,"123,347.83","206,754",21.14%, -   , -   , -   , -   , -   ,0, -   ,"206,754.00"
161,Effingham,TRUE,161,Effingham,192.13,186.58,192.13,"727,512.81",109.66,91.34,109.66,"207,626.02",25.48,27.99,27.99,"57,013.00",1, -   ,1,740.87,2,0.81,2,"1,481.74","994,374.44","351,838",57.08%,"65,797.44","58,585.82","701,122.26","323,629.00","323,629.00","865,573.56","1,024,751.26","1,376,589.26"
162,Ellsworth,TRUE,162,Ellsworth,10,10,10,"37,866.60",6,6,6,"11,359.92",1,2,2,"4,074.22", -   , -   , -   , -   , -   , -   , -   , -   ,"53,300.74","30,870",60.00%,"3,600.00","3,205.43","25,636.17", -   , -   ,"19,373.95","25,636.17","56,506.17"
163,Enfield,TRUE,163,Enfield,430.33,412.36,430.33,"1,629,513.40",119.94,121.26,121.26,"229,582.09",101.48,95.29,101.48,"206,722.46",7.75,10.56,10.56,"7,824.40",5.94,1,5.94,"4,404.03","2,078,046.38","1,129,811",28.18%,"42,713.48","38,031.94","986,267.32","58,733.00","58,733.00","893,152.85","1,045,000.32","2,174,811.32"
165,Epping,TRUE,165,Epping,889.76,862.53,889.76,"3,369,225.42",174.82,180.32,180.32,"341,394.19",147.59,150.93,150.93,"307,453.07",7,3.39,7,"5,186.09",19,17,19,"14,076.53","4,037,335.30","1,734,144",20.27%,"45,687.34","40,679.85","2,343,871.15","866,394.00","866,394.00","2,902,797.30","3,210,265.15","4,944,409.15"
167,Epsom,TRUE,167,Epsom,559.68,540.16,559.68,"2,119,314.46",98.28,101.74,101.74,"192,629.97",83.23,90.2,90.2,"183,740.60",0.28,2,2,"1,481.74",6,17,17,"12,594.79","2,509,761.56","924,943",18.18%,"23,120.85","20,586.73","1,605,405.29","955,543.00","955,543.00","2,268,730.53","2,560,948.29","3,485,891.29"
171,Errol,TRUE,171,Errol,17,17.55,17.55,"66,469.89",3,3.66,3.66,"6,931.44", -   ,0.37,0.37,748.03, -   , -   , -   , -   ,2, -   ,2,"1,481.74","75,631.10","145,440",20.86%, -   , -   , -   ,"14,426.00", -   ,0, -   ,"145,440.00"
173,Exeter,TRUE,173,Exeter,"2,027.61","1,918.18","2,027.61","7,677,859.84",263.74,172.41,263.74,"499,345.92",295.35,314.21,314.21,"640,072.39",25.82,22.79,25.82,"19,130.89",23.13,38,38,"28,153.06","8,864,562.10","4,333,654",13.01%,"42,890.86","38,189.88","4,569,097.98", -   , -   ,"3,684,039.25","4,569,097.98","8,902,751.98"
175,Farmington,TRUE,175,Farmington,790.44,759.21,790.44,"2,993,141.92",413.97,298.65,413.97,"783,780.14",172.1,189.79,189.79,"386,613.53",2,1,2,"1,481.74",10,15,15,"11,113.05","4,176,130.38","1,016,448",52.37%,"248,382.78","221,159.20","3,380,841.58","2,914,592.00","2,914,592.00","5,325,314.60","6,295,433.58","7,311,881.58"
177,Fitzwilliam,TRUE,177,Fitzwilliam,225.63,219.35,225.63,"854,378.04",86.04,53.56,86.04,"162,898.79",44.46,48.01,48.01,"97,803.08",2,1,2,"1,481.74",5,5,5,"3,704.35","1,120,266.00","471,552",38.13%,"41,008.20","36,513.56","685,227.56","208,236.00","208,236.00","678,320.91","893,463.56","1,365,015.56"
179,Francestown,TRUE,179,Francestown,168.48,163.88,168.48,"637,977.99",34.42,36.16,36.16,"68,471.54",26.28,21.3,26.28,"53,541.57",1, -   ,1,740.87,5,3,5,"3,704.35","764,436.32","396,907",21.47%,"9,705.73","8,641.95","376,171.27","173,610.00","173,610.00","502,219.08","549,781.27","946,688.27"
183,Franconia,TRUE,183,Franconia,104.07,101.83,104.07,"394,082.25",26.45,20,26.45,"50,085.51",9.69,10,10,"20,371.10",1,1,1,740.87, -   ,1,1,740.87,"466,020.60","595,288",25.42%, -   , -   , -   , -   , -   ,0, -   ,"595,288.00"
185,Franklin,TRUE,185,Franklin,924.28,897.87,924.28,"3,499,939.41",602.04,435.79,602.04,"1,139,845.66",209.64,221.99,221.99,"452,221.31",2,3,3,"2,222.61",10.44,12.96,12.96,"9,602.49","5,103,831.48","1,190,971",65.14%,"361,221.24","321,630.18","4,234,490.66","4,034,992.00","4,034,992.00","7,007,821.78","8,269,482.66","9,460,453.66"
187,Freedom,TRUE,187,Freedom,94.93,92.39,94.93,"359,454.38",36.32,34.93,36.32,"68,770.49",24.52,25.47,25.47,"51,884.38",1, -   ,1,740.87,1,1,1,740.87,"481,590.99","1,093,545",38.26%, -   , -   , -   , -   , -   ,0, -   ,"1,093,545.00"
189,Fremont,TRUE,189,Fremont,580.7,551.37,580.7,"2,198,907.02",72.79,57.47,72.79,"137,806.43",97.91,95.95,97.91,"199,458.53",1,1,1,740.87,19,17.44,19,"14,076.53","2,550,989.38","1,001,250",12.53%,"11,400.04","10,150.56","1,559,889.94", -   , -   ,"1,316,358.53","1,559,889.94","2,561,139.94"
191,Gilford,TRUE,191,Gilford,997.78,958.48,997.78,"3,778,240.36",189.99,146.15,189.99,"359,709.78",142.68,131.87,142.68,"290,652.41", -   ,4.83,4.83,"3,579.44",15,6,15,"11,113.05","4,443,295.04","3,862,024",19.04%,"45,217.36","40,261.39","621,532.43","363,818.00","363,818.00","672,509.91","985,350.43","4,847,374.43"
195,Gilmanton,TRUE,195,Gilmanton,568.34,545.11,568.34,"2,152,102.39",95.42,85.7,95.42,"180,664.76",60.74,56.75,60.74,"123,727.95",1,2,2,"1,481.74",7,9,9,"6,667.83","2,464,644.67","982,585",16.79%,"20,026.73","17,831.73","1,499,891.40", -   , -   ,"1,297,929.20","1,499,891.40","2,482,476.40"
197,Gilsum,TRUE,197,Gilsum,61.63,58.64,61.63,"233,376.78",34.64,26.53,34.64,"65,577.79",12.2,13.66,13.66,"27,819.18", -   ,1,1,740.87,2,1,2,"1,481.74","328,996.36","122,889",56.20%,"20,781.84","18,504.08","224,611.44","286,055.00","286,055.00","424,139.44","510,666.44","633,555.44"
199,Goffstown,TRUE,199,Goffstown,"2,216.16","2,151.81","2,216.16","8,391,833.44",398.79,337.41,398.79,"755,043.90",417.19,429.19,429.19,"874,313.76",29.25,32.83,32.83,"24,320.47",26,34.48,34.48,"25,547.64","10,071,059.21","3,364,276",17.99%,"89,678.71","79,849.62","6,786,632.83","1,040,103.00","1,040,103.00","6,926,418.76","7,826,735.83","11,191,011.83"
201,Gorham,TRUE,201,Gorham,326.02,323.79,326.02,"1,234,540.15",83.45,66.57,83.45,"157,999.07",75.86,63.72,75.86,"154,543.72",3,2,3,"2,222.61",2.64,5,5,"3,704.35","1,553,009.90","416,900",25.60%,"26,704.26","23,777.38","1,159,887.28","849,335.00","849,335.00","1,915,737.40","2,009,222.28","2,426,122.28"
203,Goshen,TRUE,203,Goshen,84.52,83.87,84.52,"320,052.67",29.9,20.36,29.9,"56,602.51",15.32,16.44,16.44,"33,483.57",1,1,1,740.87, -   ,2,2,"1,481.74","412,361.36","144,708",35.37%,"13,217.72","11,769.01","279,422.37","221,681.00","221,681.00","392,472.24","501,103.37","645,811.37"
209,Grafton,TRUE,209,Grafton,144.96,135.45,144.96,"548,915.75",55.05,55.15,55.15,"104,416.41",46.2,42.96,46.2,"94,115.70", -   , -   , -   , -   ,2, -   ,2,"1,481.74","748,929.60","244,856",38.04%,"26,223.78","23,349.57","527,423.17","250,176.00","250,176.00","669,911.58","777,599.17","1,022,455.17"
211,Grantham,TRUE,211,Grantham,450.76,423.26,450.76,"1,706,889.63",37.05,28.92,37.05,"70,140.69",46.97,47.89,47.89,"97,555.16",6.92,4.14,6.92,"5,123.34",7,10,10,"7,408.70","1,887,117.52","1,003,164",8.22%, -   , -   ,"883,953.52", -   , -   ,"752,234.13","883,953.52","1,887,117.52"
213,Greenfield,TRUE,213,Greenfield,191.11,199.28,199.28,"754,603.71",52.93,57.52,57.52,"108,900.36",38.44,36.53,38.44,"78,306.10",1, -   ,1,740.87,6.77,7,7,"5,186.09","947,737.13","320,549",28.86%,"20,749.69","18,475.45","645,663.58","347,765.00","347,765.00","900,219.87","993,428.58","1,313,977.58"
215,Greenland,TRUE,215,Greenland,595.49,555.63,595.49,"2,254,914.00",41.56,32.28,41.56,"78,679.94",52.03,58.25,58.25,"118,654.32",4,3.52,4,"2,963.48",4,14.3,14.3,"10,594.44","2,465,806.18","1,693,511",6.98%, -   , -   ,"772,295.18","19,719.00","19,719.00","549,845.24","792,014.18","2,485,525.18"
219,Greenville,TRUE,219,Greenville,237.56,210.82,237.56,"899,554.78",93.83,87.64,93.83,"177,653.81",40.34,41.79,41.79,"85,131.03",0.21,0.49,0.49,363.99,1, -   ,1,740.87,"1,163,444.48","210,229",39.50%,"46,329.50","41,251.63","994,467.11","1,186,140.00","1,186,140.00","1,908,258.91","2,180,607.11","2,390,836.11"
221,Groton,TRUE,221,Groton,42.33,43.99,43.99,"166,575.17",24,15.97,24,"45,439.68",13.16,10,13.16,"26,806.53", -   , -   , -   , -   ,1, -   ,1,740.87,"239,562.25","217,188",54.56%,"14,400.00","12,821.71","35,195.96","204,912.00","204,912.00",0,"240,107.96","457,295.96"
222,Hale's Location,TRUE,222,Hale's Location,0.88,1,1,"3,786.66", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,786.66","147,484",0.00%, -   , -   , -   , -   , -   ,0, -   ,"147,484.00"
223,Hampstead,TRUE,223,Hampstead,"1,241.80","1,189.21","1,241.80","4,702,277.04",95.42,74.87,95.42,"180,657.75",214.13,215.53,215.53,"439,062.39",2,0.98,2,"1,481.74",25,28.3,28.3,"20,969.14","5,344,448.06","2,512,545",7.68%, -   , -   ,"2,831,903.06","13,676.00","13,676.00","2,161,931.97","2,845,579.06","5,358,124.06"
225,Hampton,TRUE,225,Hampton,"1,559.46","1,480.68","1,559.46","5,905,154.27",256.38,191.99,256.38,"485,400.10",221.5,228.85,228.85,"466,189.36",27.84,33.35,33.35,"24,705.35",12.56,18.86,18.86,"13,973.85","6,895,422.93","7,202,600",16.44%, -   , -   , -   , -   , -   ,0, -   ,"7,202,600.00"
227,Hampton Falls,TRUE,227,Hampton Falls,319.4,291.7,319.4,"1,209,446.33",12.99,8,12.99,"24,593.66",45.3,47.35,47.35,"96,464.29",1,1,1,740.87,5,6,6,"4,445.22","1,335,690.37","991,553",4.07%, -   , -   ,"344,137.37", -   , -   ,"219,393.29","344,137.37","1,335,690.37"
231,Hancock,TRUE,231,Hancock,168.51,157.64,168.51,"638,076.82",25.37,29.69,29.69,"56,212.10",20,25.76,25.76,"52,478.81", -   ,0.98,0.98,724.05,5, -   ,5,"3,704.35","751,196.13","505,076",17.62%,"6,539.16","5,822.45","251,942.58","128,961.00","128,961.00","293,852.29","380,903.58","885,979.58"
233,Hanover,TRUE,233,Hanover,"1,163.14","1,083.56","1,163.14","4,404,430.10",44.31,48.63,48.63,"92,063.44",156.01,151.37,156.01,"317,818.90",27.2,24.41,27.2,"20,153.81",5,10,10,"7,408.70","4,841,874.95","4,582,585",4.18%, -   , -   ,"259,289.95", -   , -   ,0,"259,289.95","4,841,874.95"
235,Harrisville,TRUE,235,Harrisville,84.91,78.68,84.91,"321,508.26",18.2,18.13,18.2,"34,458.42",9.53,12.33,12.33,"25,122.25", -   , -   , -   , -   ,1, -   ,1,740.87,"381,829.80","396,687",21.44%, -   , -   , -   ,"13,345.00", -   ,0, -   ,"396,687.00"
236,Hart's Location,TRUE,236,Hart's Location,0.88,4,4,"15,146.64",0.47,2,2,"3,786.64",0.47,1,1,"2,037.11", -   , -   , -   , -   , -   , -   , -   , -   ,"20,970.39","34,406",50.00%, -   , -   , -   , -   , -   ,0, -   ,"34,406.00"
238,Haverhill,TRUE,238,Haverhill,562.45,548.84,562.45,"2,129,789.12",227.57,171.96,227.57,"430,869.08",109.81,107.18,109.81,"223,697.90",3,5,5,"3,704.35",7.77,15.24,15.24,"11,292.04","2,799,352.49","651,229",40.46%,"115,095.20","102,480.38","2,250,603.87","2,109,770.00","2,109,770.00","3,843,846.40","4,360,373.87","5,011,602.87"
243,Hebron,TRUE,243,Hebron,51.52,48,51.52,"195,098.57",11,10,11,"20,826.52",8,10,10,"20,371.10", -   , -   , -   , -   , -   , -   , -   , -   ,"236,296.19","572,472",21.35%, -   , -   , -   , -   , -   ,0, -   ,"572,472.00"
245,Henniker,TRUE,245,Henniker,539.1,523.85,539.1,"2,041,405.82",129.36,87.51,129.36,"244,921.96",83.04,100.76,100.76,"205,256.15", -   , -   , -   , -   ,4,9,9,"6,667.83","2,498,251.76","878,940",24.00%,"38,808.33","34,554.81","1,653,866.57","839,188.00","839,188.00","2,148,767.79","2,493,054.57","3,371,994.57"
247,Hill,TRUE,247,Hill,106.02,106.6,106.6,"403,668.56",27.56,24.3,27.56,"52,187.85",16.52,20.83,20.83,"42,431.17", -   , -   , -   , -   , -   , -   , -   , -   ,"498,287.58","171,463",25.86%,"8,910.13","7,933.55","334,758.13","64,565.00","64,565.00","326,005.87","399,323.13","570,786.13"
249,Hillsboro,TRUE,249,Hillsboro,823.2,761.53,823.2,"3,117,194.42",334.27,246.1,334.27,"632,885.57",173.64,172.42,173.64,"353,718.69",3,3,3,"2,222.61",9,7.49,9,"6,667.83","4,112,689.12","1,025,486",40.61%,"169,685.28","151,087.21","3,238,290.33","2,337,908.00","2,337,908.00","4,670,612.40","5,576,198.33","6,601,684.33"
255,Hinsdale,TRUE,255,Hinsdale,510.87,521.85,521.85,"1,976,082.53",233.33,208.69,233.33,"441,766.08",109.18,117.01,117.01,"238,352.26",4,3.49,4,"2,963.48",11.93,10,11.93,"8,836.95","2,668,001.30","504,597",44.71%,"130,401.63","116,109.18","2,279,513.48","2,455,617.00","2,455,617.00","4,275,972.00","4,735,130.48","5,239,727.48"
257,Holderness,TRUE,257,Holderness,208.61,214.02,214.02,"810,418.70",45.28,45.33,45.33,"85,831.01",32.08,34.15,34.15,"69,566.49",1,2,2,"1,481.74",6, -   ,6,"4,445.22","971,743.16","1,536,970",21.18%, -   , -   , -   , -   , -   ,0, -   ,"1,536,970.00"
259,Hollis,TRUE,259,Hollis,"1,257.51","1,219.44","1,257.51","4,761,771.90",55.03,53.61,55.03,"104,181.64",159.63,154.54,159.63,"325,179.59",11.26,14.03,14.03,"10,397.52",13.95,9,13.95,"10,334.77","5,211,865.42","2,803,214",4.38%, -   , -   ,"2,408,651.42", -   , -   ,"2,153,160.38","2,408,651.42","5,211,865.42"
261,Hooksett,TRUE,261,Hooksett,"1,844.96","1,804.92","1,844.96","6,986,232.45",320.68,254.15,320.68,"607,150.61",272.23,282.67,282.67,"575,821.94",43.32,42.99,43.32,"32,094.78",30,29.85,30,"22,226.10","8,223,525.88","4,241,650",17.38%,"69,667.82","62,031.99","4,043,907.87", -   , -   ,"3,467,806.87","4,043,907.87","8,285,557.87"
263,Hopkinton,TRUE,263,Hopkinton,958.91,910.16,958.91,"3,631,061.22",68.62,72.65,72.65,"137,553.48",167.44,165.57,167.44,"341,097.98",2.55,1.06,2.55,"1,892.40",16.41,5.73,16.41,"12,159.45","4,123,764.53","1,434,605",7.58%, -   , -   ,"2,689,159.53", -   , -   ,"2,356,998.18","2,689,159.53","4,123,764.53"
267,Hudson,TRUE,267,Hudson,"3,027.29","3,006.78","3,027.29","11,463,320.60",541.22,565.77,565.77,"1,071,177.98",495.04,475.01,495.04,"1,008,446.45",47.38,43.27,47.38,"35,101.75",71.25,55.86,71.25,"52,789.43","13,630,836.21","6,294,306",18.69%,"132,177.32","117,690.24","7,454,220.45", -   , -   ,"6,574,908.87","7,454,220.45","13,748,526.45"
271,Jackson,TRUE,271,Jackson,80.71,83.54,83.54,"316,321.67",14.16,4.02,14.16,"26,806.19",15.86,18.2,18.2,"37,081.11", -   , -   , -   , -   , -   ,1,1,740.87,"380,949.84","863,513",16.95%, -   , -   , -   ,"78,127.00", -   ,0, -   ,"863,513.00"
273,Jaffrey,TRUE,273,Jaffrey,684.11,672.57,684.11,"2,590,498.03",246.32,246.86,246.86,"467,385.54",135.36,130.8,135.36,"275,737.51",3,4,4,"2,963.48",3.25,9,9,"6,667.83","3,343,252.39","963,499",36.08%,"111,334.00","99,131.42","2,478,884.81","1,210,683.00","1,210,683.00","3,324,607.63","3,689,567.81","4,653,066.81"
275,Jefferson,TRUE,275,Jefferson,116.62,112.3,116.62,"441,586.28",43.82,40.51,43.82,"82,964.90",18.7,12.56,18.7,"38,101.09", -   , -   , -   , -   ,1, -   ,1,740.87,"563,393.14","256,913",37.58%,"20,584.35","18,328.24","324,808.38","208,016.00","208,016.00","463,208.06","532,824.38","789,737.38"
279,Keene,TRUE,279,Keene,"2,439.54","2,301.07","2,439.54","9,237,691.88",908.09,716.51,908.09,"1,719,307.04",517.86,499.48,517.86,"1,054,928.21",38.29,30.35,38.29,"28,366.43",22.51,35.08,35.08,"25,992.31","12,066,285.87","3,494,360",37.22%,"422,489.38","376,183.13","8,948,109.00","3,556,155.00","3,556,155.00","10,593,955.67","12,504,264.00","15,998,624.00"
281,Kensington,TRUE,281,Kensington,299.57,261.85,299.57,"1,134,353.83",30.98,12.54,30.98,"58,650.70",47.63,44.87,47.63,"97,019.81", -   , -   , -   , -   ,3,6,6,"4,445.22","1,294,469.56","729,321",10.34%, -   , -   ,"565,148.56", -   , -   ,"336,712.29","565,148.56","1,294,469.56"
283,Kingston,TRUE,283,Kingston,726.47,679.47,726.47,"2,750,891.10",110.75,71.84,110.75,"209,688.03",161.62,168.02,168.02,"342,278.48",7,4.82,7,"5,186.09",2,11,11,"8,149.57","3,316,193.27","1,585,463",15.25%,"21,112.00","18,798.05","1,749,528.32", -   , -   ,"1,352,437.99","1,749,528.32","3,334,991.32"
285,Laconia,TRUE,285,Laconia,"1,865.41","1,812.51","1,865.41","7,063,689.71",969.76,853.19,969.76,"1,836,061.46",360.56,376.62,376.62,"767,210.87",20.16,17.01,20.16,"14,939.42",21,24.69,24.69,"18,294.15","9,700,195.61","4,584,319",51.99%,"581,854.56","518,081.35","5,633,957.96","1,463,505.00","1,463,505.00","5,730,890.02","7,097,462.96","11,681,781.96"
287,Lancaster,TRUE,287,Lancaster,411.79,384.22,411.79,"1,559,312.13",224.13,203.9,224.13,"424,346.40",89.82,90.23,90.23,"183,814.95",3.56,4,4,"2,963.48",3,5,5,"3,704.35","2,174,141.31","516,416",54.43%,"134,476.92","119,737.80","1,777,463.11","1,995,143.00","1,995,143.00","3,282,855.73","3,772,606.11","4,289,022.11"
291,Landaff,TRUE,291,Landaff,51.29,46.99,51.29,"194,203.02",12,10.32,12,"22,719.84",12.55,12.82,12.82,"26,108.82", -   , -   , -   , -   ,1, -   ,1,740.87,"243,772.55","99,814",23.40%,"3,510.00","3,125.29","147,083.84","61,334.00","61,334.00","175,504.52","208,417.84","308,231.84"
