,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Hollis,TRUE,259,Hollis," 1,257.68 "," 5,156,483.08 ", 44.11 ," 101,456.45 ", 174.97 ," 367,427.97 ", 31.27 ," 25,012.96 "," 5,650,380.46 "," 2,802,370 "," 1,970,705,674.54 "," 44,675,553.42 ", -   , -   ," 2,848,010.46 "," 2,467,358.01 "," 2,566,052.33 ",0.00," 2,848,010.46 ",," 5,650,380.46 ",,,,,,,,,,,,,,,
261,Hooksett,TRUE,261,Hooksett," 1,894.16 "," 7,766,045.75 ", 303.37 ," 697,745.71 ", 355.31 ," 746,140.92 ", 35.40 ," 28,316.32 "," 9,238,248.70 "," 3,785,751 "," 2,770,520,004.39 "," 9,132,547.74 ", -   , -   ," 5,452,497.70 "," 4,638,369.19 "," 4,823,903.96 ",0.00," 5,452,497.70 ",," 9,238,248.70 ",,,,,,,,,,,,,,,
263,Hopkinton,TRUE,263,Hopkinton, 899.93 ," 3,689,731.86 ", 64.92 ," 149,312.32 ", 173.17 ," 363,655.32 ", -   , -   ," 4,202,699.50 "," 1,396,358 "," 1,007,373,581.70 "," 15,517,535.58 ", -   , -   ," 2,806,341.50 "," 2,607,876.76 "," 2,712,191.83 ",0.00," 2,806,341.50 ",," 4,202,699.50 ",,,,,,,,,,,,,,,
267,Hudson,TRUE,267,Hudson," 2,961.67 "," 12,142,828.96 ", 486.92 ," 1,119,906.11 ", 479.70 ," 1,007,375.25 ", 55.49 ," 44,395.60 "," 14,314,505.92 "," 6,136,479 "," 4,453,139,078.47 "," 9,145,605.86 ", -   , -   ," 8,178,026.92 "," 7,331,854.65 "," 7,625,128.84 ",0.00," 8,178,026.92 ",," 14,314,505.92 ",,,,,,,,,,,,,,,
271,Jackson,TRUE,271,Jackson, 76.61 ," 314,085.01 ", 8.77 ," 20,176.06 ", 17.77 ," 37,321.62 ", 0.16 , 124.40 ," 371,707.09 "," 903,235 "," 631,597,360.10 "," 71,999,881.45 ", -   , -   , -   , -   , -   ,0.00, -   ,," 903,235.00 ",,,,,,,,,,,,,,,
273,Jaffrey,TRUE,273,Jaffrey, 607.82 ," 2,492,061.18 ", 212.20 ," 488,053.33 ", 148.26 ," 311,339.91 ", 3.99 ," 3,195.36 "," 3,294,649.78 "," 1,037,606 "," 734,944,087.23 "," 3,463,497.32 "," 5,332.05 "," 1,131,446.51 "," 3,388,490.29 "," 3,402,627.18 "," 3,538,732.27 ","150,241.98"," 3,538,732.27 ",," 4,576,338.27 ",,,,,,,,,,,,,,,
275,Jefferson,TRUE,275,Jefferson, 106.02 ," 434,693.89 ", 45.87 ," 105,490.42 ", 14.00 ," 29,400.00 ", -   , -   ," 569,584.31 "," 238,647 "," 174,804,443.70 "," 3,811,248.65 "," 4,740.88 "," 217,442.23 "," 548,379.54 "," 543,176.12 "," 564,903.16 ","16,523.62"," 564,903.16 ",," 803,550.16 ",,,,,,,,,,,,,,,
279,Keene,TRUE,279,Keene," 2,262.58 "," 9,276,566.11 ", 863.77 ," 1,986,664.56 ", 468.48 ," 983,808.84 ", 43.34 ," 34,668.32 "," 12,281,707.83 "," 3,330,484 "," 2,430,594,339.82 "," 2,813,946.10 "," 6,436.29 "," 5,559,457.61 "," 14,510,681.44 "," 12,465,382.74 "," 12,963,998.05 ",0.00," 14,510,681.44 ",," 17,841,165.44 ",,,,,,,,,,,,,,,
281,Kensington,TRUE,281,Kensington, 258.25 ," 1,058,804.91 ", 38.37 ," 88,243.18 ", 49.90 ," 104,797.14 ", -   , -   ," 1,251,845.23 "," 708,195 "," 519,527,956.82 "," 13,541,151.86 ", -   , -   ," 543,650.23 "," 435,832.84 "," 453,266.15 ",0.00," 543,650.23 ",," 1,251,845.23 ",,,,,,,,,,,,,,,
283,Kingston,TRUE,283,Kingston, 624.47 ," 2,560,336.84 ", 76.09 ," 175,002.63 ", 175.62 ," 368,809.56 ", 8.00 ," 6,400.00 "," 3,110,549.03 "," 1,576,784 "," 1,151,688,252.61 "," 15,136,246.70 ", -   , -   ," 1,533,765.03 "," 1,310,678.65 "," 1,363,105.80 ",0.00," 1,533,765.03 ",," 3,110,549.03 ",,,,,,,,,,,,,,,
285,Laconia,TRUE,285,Laconia," 1,774.02 "," 7,273,485.28 ", 897.57 ," 2,064,399.73 ", 417.11 ," 875,935.20 ", 17.65 ," 14,122.88 "," 10,227,943.09 "," 4,669,057 "," 3,316,220,628.34 "," 3,694,685.35 "," 4,939.03 "," 4,433,105.35 "," 9,991,991.44 "," 6,899,479.79 "," 7,175,458.98 ",0.00," 9,991,991.44 ",," 14,661,048.44 ",,,,,,,,,,,,,,,
287,Lancaster,TRUE,287,Lancaster, 373.73 ," 1,532,301.61 ", 177.46 ," 408,158.00 ", 101.78 ," 213,746.40 ", 2.92 ," 2,336.00 "," 2,156,542.01 "," 528,225 "," 387,578,319.37 "," 2,184,032.00 "," 7,507.15 "," 1,332,218.06 "," 2,960,535.07 "," 3,641,005.94 "," 3,786,646.18 ","826,111.11"," 3,786,646.18 ",," 4,314,871.18 ",,,,,,,,,,,,,,,
291,Landaff,TRUE,291,Landaff, 35.45 ," 145,324.91 ", 10.00 ," 23,000.00 ", 7.00 ," 14,700.00 ", -   , -   ," 183,024.91 "," 85,553 "," 61,428,980.06 "," 6,142,898.01 ", 777.07 ," 7,770.73 "," 105,242.64 "," 135,073.31 "," 140,476.24 ","35,233.60"," 140,476.24 ",," 226,029.24 ",,,,,,,,,,,,,,,
293,Langdon,TRUE,293,Langdon, 68.33 ," 280,168.58 ", 18.13 ," 41,707.74 ", 10.78 ," 22,644.93 ", -   , -   ," 344,521.25 "," 105,671 "," 75,335,508.89 "," 4,154,424.82 "," 4,157.48 "," 75,390.87 "," 314,241.12 "," 378,373.62 "," 393,508.56 ","79,267.44"," 393,508.56 ",," 499,179.56 ",,,,,,,,,,,,,,,
295,Lebanon,TRUE,295,Lebanon," 1,306.93 "," 5,358,413.00 ", 373.09 ," 858,102.86 ", 221.22 ," 464,563.89 ", 50.15 ," 40,119.20 "," 6,721,198.95 "," 3,965,135 "," 2,886,260,516.11 "," 7,736,134.56 ", -   , -   ," 2,756,063.95 "," 3,197,054.20 "," 3,324,936.37 ","568,872.42"," 3,324,936.37 ",," 7,290,071.37 ",,,,,,,,,,,,,,,
297,Lee,TRUE,297,Lee, 704.27 ," 2,887,493.47 ", 103.25 ," 237,476.15 ", 141.76 ," 297,703.77 ", 7.50 ," 5,997.76 "," 3,428,671.15 "," 1,078,084 "," 765,244,402.23 "," 7,411,532.17 ", -   , -   ," 2,350,587.15 "," 2,747,730.72 "," 2,857,639.95 ","507,052.80"," 2,857,639.95 ",," 3,935,723.95 ",,,,,,,,,,,,,,,
299,Lempster,TRUE,299,Lempster, 142.64 ," 584,828.10 ", 42.52 ," 97,786.80 ", 29.92 ," 62,829.27 ", -   , -   ," 745,444.17 "," 220,854 "," 198,583,909.45 "," 4,670,804.15 "," 3,279.63 "," 139,436.87 "," 664,027.04 "," 768,408.32 "," 799,144.65 ","135,117.61"," 799,144.65 ",," 1,019,998.65 ",,,,,,,,,,,,,,,
303,Lincoln,TRUE,303,Lincoln, 129.29 ," 530,081.62 ", 42.25 ," 97,180.29 ", 25.50 ," 53,540.13 ", 6.17 ," 4,936.40 "," 685,738.44 "," 1,826,549 "," 1,288,529,538.93 "," 30,496,080.42 ", -   , -   , -   , -   , -   ,0.00, -   ,," 1,826,549.00 ",,,,,,,,,,,,,,,
311,Lisbon,TRUE,311,Lisbon, 197.33 ," 809,052.18 ", 92.41 ," 212,535.64 ", 58.90 ," 123,680.55 ", 0.45 , 360.40 ," 1,145,628.77 "," 259,621 "," 187,932,903.32 "," 2,033,756.21 "," 7,762.61 "," 717,318.36 "," 1,603,326.13 "," 1,694,674.55 "," 1,762,461.53 ","159,135.40"," 1,762,461.53 ",," 2,022,082.53 ",,,,,,,,,,,,,,,
315,Litchfield,TRUE,315,Litchfield," 1,155.62 "," 4,738,053.89 ", 124.00 ," 285,196.55 ", 225.61 ," 473,777.43 ", 14.34 ," 11,475.60 "," 5,508,503.47 "," 1,985,321 "," 1,452,191,066.70 "," 11,711,359.95 ", -   , -   ," 3,523,182.47 "," 5,360,521.36 "," 5,574,942.21 ","2,051,759.74"," 5,574,942.21 ",," 7,560,263.21 ",,,,,,,,,,,,,,,
317,Littleton,TRUE,317,Littleton, 646.90 ," 2,652,286.72 ", 385.53 ," 886,716.01 ", 138.14 ," 290,101.14 ", 34.07 ," 27,252.72 "," 3,856,356.59 "," 1,185,122 "," 1,161,407,411.42 "," 3,012,505.71 "," 6,098.74 "," 2,351,239.41 "," 5,022,474.00 "," 4,224,907.11 "," 4,393,903.39 ",0.00," 5,022,474.00 ",," 6,207,596.00 ",,,,,,,,,,,,,,,
319,Londonderry,TRUE,319,Londonderry," 3,768.77 "," 15,451,961.10 ", 487.65 ," 1,121,606.04 ", 772.66 ," 1,622,590.41 ", 29.93 ," 23,944.56 "," 18,220,102.11 "," 7,043,652 "," 5,591,606,380.63 "," 11,466,320.81 ", -   , -   ," 11,176,450.11 "," 11,468,734.19 "," 11,927,483.56 ","751,033.45"," 11,927,483.56 ",," 18,971,135.56 ",,,,,,,,,,,,,,,
321,Loudon,TRUE,321,Loudon, 611.96 ," 2,509,040.92 ", 141.78 ," 326,084.34 ", 137.45 ," 288,655.08 ", 0.94 , 751.12 ," 3,124,531.46 "," 1,096,343 "," 779,354,551.00 "," 5,497,091.54 "," 1,874.94 "," 265,821.74 "," 2,294,010.20 "," 2,450,182.50 "," 2,548,189.80 ","254,179.60"," 2,548,189.80 ",," 3,644,532.80 ",,,,,,,,,,,,,,,
323,Lyman,TRUE,323,Lyman, 40.65 ," 166,680.99 ", 3.73 ," 8,568.19 ", 7.00 ," 14,700.00 ", -   , -   ," 189,949.18 "," 136,261 "," 98,104,170.61 "," 26,334,569.19 ", -   , -   ," 53,688.18 "," 139,111.44 "," 144,675.90 ","90,987.72"," 144,675.90 ",," 280,936.90 ",,,,,,,,,,,,,,,
327,Lyme,TRUE,327,Lyme, 275.97 ," 1,131,457.32 ", 24.16 ," 55,562.48 ", 50.43 ," 105,897.33 ", -   , -   ," 1,292,917.13 "," 655,608 "," 462,523,293.94 "," 19,146,078.00 ", -   , -   ," 637,309.13 "," 614,567.23 "," 639,149.92 ","1,840.79"," 639,149.92 ",," 1,294,757.92 ",,,,,,,,,,,,,,,
329,Lyndeborough,TRUE,329,Lyndeborough, 144.46 ," 592,290.92 ", 29.00 ," 66,700.00 ", 26.48 ," 55,598.34 ", -   , -   ," 714,589.26 "," 373,299 "," 262,622,425.16 "," 9,055,945.70 ", -   , -   ," 341,290.26 "," 394,314.52 "," 410,087.10 ","68,796.84"," 410,087.10 ",," 783,386.10 ",,,,,,,,,,,,,,,
331,Madbury,TRUE,331,Madbury, 330.05 ," 1,353,196.80 ", 32.70 ," 75,210.00 ", 68.66 ," 144,183.27 ", 5.82 ," 4,652.80 "," 1,577,242.87 "," 505,687 "," 383,968,500.00 "," 11,742,155.96 ", -   , -   ," 1,071,555.87 "," 1,098,892.88 "," 1,142,848.60 ","71,292.73"," 1,142,848.60 ",," 1,648,535.60 ",,,,,,,,,,,,,,,
333,Madison,TRUE,333,Madison, 248.84 ," 1,020,254.25 ", 97.87 ," 225,106.52 ", 39.36 ," 82,652.43 ", 2.98 ," 2,386.64 "," 1,330,399.84 "," 1,147,853 "," 820,046,748.31 "," 8,378,733.42 ", -   , -   ," 182,546.84 "," 443,418.11 "," 461,154.83 ","278,607.99"," 461,154.83 ",," 1,609,007.83 ",,,,,,,,,,,,,,,
335,Manchester,TRUE,335,Manchester," 11,651.63 "," 47,771,678.90 "," 6,414.70 "," 14,753,800.57 "," 2,489.81 "," 5,228,602.68 "," 1,996.07 "," 1,596,858.88 "," 69,350,941.03 "," 19,682,274 "," 14,044,461,160.20 "," 2,189,419.64 "," 7,497.99 "," 48,097,304.03 "," 97,765,971.06 "," 62,542,377.55 "," 65,044,072.65 ",0.00," 97,765,971.06 ",," 117,448,245.06 ",,,,,,,,,,,,,,,
339,Marlborough,TRUE,339,Marlborough, 205.88 ," 844,102.67 ", 75.71 ," 174,122.88 ", 40.87 ," 85,834.35 ", -   , -   ," 1,104,059.90 "," 321,700 "," 229,804,665.30 "," 3,035,504.18 "," 6,059.64 "," 458,748.90 "," 1,241,108.80 "," 1,315,767.87 "," 1,368,398.58 ","127,289.78"," 1,368,398.58 ",," 1,690,098.58 ",,,,,,,,,,,,,,,
341,Marlow,TRUE,341,Marlow, 79.28 ," 325,034.06 ", 28.62 ," 65,818.18 ", 15.48 ," 32,503.38 ", -   , -   ," 423,355.62 "," 122,431 "," 87,241,376.55 "," 3,048,628.30 "," 6,037.33 "," 172,767.91 "," 473,692.53 "," 673,513.33 "," 700,453.86 ","226,761.33"," 700,453.86 ",," 822,884.86 ",,,,,,,,,,,,,,,
344,Martin's Location,TRUE,344,Martin's Location, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 354,317.00 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,, -   ,,,,,,,,,,,,,,,
345,Mason,TRUE,345,Mason, 157.45 ," 645,529.01 ", 17.79 ," 40,923.67 ", 17.65 ," 37,071.72 ", 1.00 , 800.00 ," 724,324.40 "," 334,613 "," 240,244,984.85 "," 13,502,295.01 ", -   , -   ," 389,711.40 "," 366,041.09 "," 380,682.73 ",0.00," 389,711.40 ",," 724,324.40 ",,,,,,,,,,,,,,,
347,Meredith,TRUE,347,Meredith, 643.62 ," 2,638,841.18 ", 222.89 ," 512,639.41 ", 133.55 ," 280,447.23 ", 3.00 ," 2,400.00 "," 3,434,327.82 "," 4,727,806 "," 3,304,910,547.82 "," 14,827,760.24 ", -   , -   , -   , -   , -   ,0.00, -   ,," 4,727,806.00 ",,,,,,,,,,,,,,,
351,Merrimack,TRUE,351,Merrimack," 3,451.69 "," 14,151,916.29 ", 375.05 ," 862,625.35 ", 747.72 ," 1,570,213.26 ", 91.23 ," 72,980.88 "," 16,657,735.78 "," 7,172,274 "," 5,140,096,930.86 "," 13,704,933.37 ", -   , -   ," 9,485,461.78 "," 8,697,531.64 "," 9,045,432.91 ",0.00," 9,485,461.78 ",," 16,657,735.78 ",,,,,,,,,,,,,,,
353,Middleton,TRUE,353,Middleton, 258.93 ," 1,061,616.28 ", 82.97 ," 190,824.10 ", 45.58 ," 95,726.61 ", -   , -   ," 1,348,166.99 "," 439,011 "," 312,484,884.57 "," 3,766,375.60 "," 4,817.16 "," 399,665.44 "," 1,308,821.43 "," 1,454,544.16 "," 1,512,725.93 ","203,904.50"," 1,512,725.93 ",," 1,951,736.93 ",,,,,,,,,,,,,,,
355,Milan,TRUE,355,Milan, 161.08 ," 660,427.18 ", 58.87 ," 135,390.88 ", 20.01 ," 42,011.97 ", -   , -   ," 837,830.03 "," 234,607 "," 191,300,660.21 "," 3,249,786.98 "," 5,695.36 "," 335,260.91 "," 938,483.94 "," 1,219,417.72 "," 1,268,194.43 ","329,710.49"," 1,268,194.43 ",," 1,502,801.43 ",,,,,,,,,,,,,,,
357,Milford,TRUE,357,Milford," 2,001.14 "," 8,204,672.77 ", 311.00 ," 715,310.81 ", 384.31 ," 807,060.66 ", 46.47 ," 37,173.20 "," 9,764,217.44 "," 3,104,100 "," 2,200,422,371.84 "," 7,075,206.17 ", -   , -   ," 6,660,117.44 "," 7,307,845.97 "," 7,600,159.81 ","940,042.37"," 7,600,159.81 ",," 10,704,259.81 ",,,,,,,,,,,,,,,
358,Millsfield,TRUE,358,Millsfield, 2.02 ," 8,269.70 ", -   , -   , -   , -   , -   , -   ," 8,269.70 "," 15,006 "," 95,226,986.41 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,," 15,006.00 ",,,,,,,,,,,,,,,
359,Milton,TRUE,359,Milton, 497.88 ," 2,041,309.23 ", 188.97 ," 434,640.66 ", 124.14 ," 260,684.97 ", 2.00 ," 1,600.00 "," 2,738,234.86 "," 1,027,685 "," 744,077,152.80 "," 3,937,453.65 "," 4,526.33 "," 855,359.36 "," 2,565,909.22 "," 2,938,374.85 "," 3,055,909.84 ","490,000.62"," 3,055,909.84 ",," 4,083,594.84 ",,,,,,,,,,,,,,,
365,Monroe,TRUE,365,Monroe, 127.82 ," 524,067.74 ", 24.00 ," 55,200.00 ", 29.99 ," 62,988.24 ", -   , -   ," 642,255.98 "," 167,463 "," 582,237,055.74 "," 24,259,877.32 ", -   , -   ," 474,792.98 "," 493,050.87 "," 512,772.90 ","37,979.92"," 512,772.90 ",," 680,235.90 ",,,,,,,,,,,,,,,
367,Mont Vernon,TRUE,367,Mont Vernon, 395.51 ," 1,621,602.07 ", 27.39 ," 63,005.74 ", 77.53 ," 162,806.91 ", 1.00 , 800.00 ," 1,848,214.72 "," 651,517 "," 458,709,921.85 "," 16,745,027.04 ", -   , -   ," 1,196,697.72 "," 1,313,224.13 "," 1,365,753.10 ","169,055.38"," 1,365,753.10 ",," 2,017,270.10 ",,,,,,,,,,,,,,,
369,Moultonborough,TRUE,369,Moultonborough, 413.02 ," 1,693,388.56 ", 94.20 ," 216,648.73 ", 86.51 ," 181,670.37 ", 12.72 ," 10,176.08 "," 2,101,883.74 "," 6,684,886 "," 4,680,123,534.63 "," 49,685,424.56 ", -   , -   , -   , -   , -   ,0.00, -   ,," 6,684,886.00 ",,,,,,,,,,,,,,,
371,Nashua,TRUE,371,Nashua," 9,663.27 "," 39,619,391.01 "," 4,231.91 "," 9,733,390.47 "," 1,928.70 "," 4,050,262.23 "," 1,276.67 "," 1,021,334.08 "," 54,424,377.79 "," 21,115,860 "," 15,188,910,974.74 "," 3,589,139.40 "," 5,118.46 "," 21,660,869.20 "," 54,969,386.99 "," 36,177,736.17 "," 37,624,845.62 ",0.00," 54,969,386.99 ",," 76,085,246.99 ",,,,,,,,,,,,,,,
375,Nelson,TRUE,375,Nelson, 51.46 ," 210,967.96 ", 14.77 ," 33,976.06 ", 5.17 ," 10,861.62 ", -   , -   ," 255,805.64 "," 218,810 "," 155,325,303.81 "," 10,514,703.55 ", -   , -   ," 36,995.64 "," 143,257.25 "," 148,987.54 ","111,991.90"," 148,987.54 ",," 367,797.54 ",,,,,,,,,,,,,,,
377,New Boston,TRUE,377,New Boston, 960.06 ," 3,936,245.59 ", 86.37 ," 198,649.39 ", 163.79 ," 343,968.45 ", 1.15 , 920.00 ," 4,479,783.43 "," 1,371,923 "," 968,290,521.06 "," 11,211,049.77 ", -   , -   ," 3,107,860.43 "," 2,920,966.69 "," 3,037,805.36 ",0.00," 3,107,860.43 ",," 4,479,783.43 ",,,,,,,,,,,,,,,
379,Newbury,TRUE,379,Newbury, 201.30 ," 825,339.02 ", 31.27 ," 71,916.17 ", 29.93 ," 62,846.07 ", 1.00 , 800.00 ," 960,901.26 "," 1,578,633 "," 1,103,195,987.82 "," 35,282,062.05 ", -   , -   , -   , -   , -   ,0.00, -   ,," 1,578,633.00 ",,,,,,,,,,,,,,,
381,New Castle,TRUE,381,New Castle, 47.62 ," 195,251.84 ", -   , -   , 4.50 ," 9,450.00 ", -   , -   ," 204,701.84 "," 1,604,891 "," 1,116,015,968.23 ", -   ,  , -   , -   , -   , -   ,0.00, -   ,," 1,604,891.00 ",,,,,,,,,,,,,,,
383,New Durham,TRUE,383,New Durham, 325.57 ," 1,334,834.95 ", 74.95 ," 172,379.25 ", 52.00 ," 109,200.00 ", -   , -   ," 1,616,414.20 "," 1,064,032 "," 746,034,425.56 "," 9,954,093.54 ", -   , -   ," 552,382.20 "," 444,813.67 "," 462,606.22 ",0.00," 552,382.20 ",," 1,616,414.20 ",,,,,,,,,,,,,,,
387,Newfields,TRUE,387,Newfields, 244.44 ," 1,002,222.45 ", 16.35 ," 37,605.00 ", 48.84 ," 102,573.24 ", -   , -   ," 1,142,400.69 "," 557,717 "," 389,746,148.97 "," 23,837,684.95 ", -   , -   ," 584,683.69 "," 518,517.44 "," 539,258.14 ",0.00," 584,683.69 ",," 1,142,400.69 ",,,,,,,,,,,,,,,
389,New Hampton,TRUE,389,New Hampton, 230.70 ," 945,860.16 ", 69.02 ," 158,741.63 ", 35.31 ," 74,154.57 ", -   , -   ," 1,178,756.36 "," 653,838 "," 507,098,068.95 "," 7,347,320.04 ", -   , -   ," 524,918.36 "," 805,473.84 "," 837,692.79 ","312,774.43"," 837,692.79 ",," 1,491,530.79 ",,,,,,,,,,,,,,,
391,Newington,TRUE,391,Newington, 69.47 ," 284,836.02 ", 6.97 ," 16,036.06 ", 11.00 ," 23,100.00 ", -   , -   ," 323,972.08 "," 1,108,887 "," 1,204,627,730.82 "," 172,775,842.75 ", -   , -   , -   , -   , -   ,0.00, -   ,," 1,108,887.00 ",,,,,,,,,,,,,,,
393,New Ipswich,TRUE,393,New Ipswich, 630.07 ," 2,583,267.32 ", 114.07 ," 262,355.94 ", 68.33 ," 143,487.12 ", 6.14 ," 4,910.40 "," 2,994,020.78 "," 895,829 "," 642,357,393.19 "," 5,631,364.80 "," 1,646.68 "," 187,833.15 "," 2,286,024.93 "," 2,760,237.89 "," 2,870,647.41 ","584,622.48"," 2,870,647.41 ",," 3,766,476.41 ",,,,,,,,,,,,,,,
395,New London,TRUE,395,New London, 328.43 ," 1,346,576.94 ", 17.96 ," 41,315.36 ", 30.08 ," 63,175.14 ", 1.00 , 800.00 ," 1,451,867.44 "," 2,426,936 "," 1,703,584,807.16 "," 94,837,490.38 ", -   , -   , -   , -   , -   ,0.00, -   ,," 2,426,936.00 ",,,,,,,,,,,,,,,
399,Newmarket,TRUE,399,Newmarket, 926.35 ," 3,798,029.67 ", 173.99 ," 400,174.93 ", 176.23 ," 370,082.79 ", 18.05 ," 14,443.68 "," 4,582,731.07 "," 1,973,497 "," 1,380,155,586.43 "," 7,932,425.57 ", -   , -   ," 2,609,234.07 "," 2,300,645.22 "," 2,392,671.03 ",0.00," 2,609,234.07 ",," 4,582,731.07 ",,,,,,,,,,,,,,,
401,Newport,TRUE,401,Newport, 700.63 ," 2,872,570.29 ", 409.22 ," 941,201.63 ", 202.95 ," 426,194.79 ", 10.07 ," 8,059.68 "," 4,248,026.39 "," 889,205 "," 644,896,414.51 "," 1,575,923.49 "," 8,500.00 "," 3,478,353.85 "," 6,837,175.24 "," 7,199,346.09 "," 7,487,319.93 ","650,144.69"," 7,487,319.93 ",," 8,376,524.93 ",,,,,,,,,,,,,,,
403,Newton,TRUE,403,Newton, 566.49 ," 2,322,605.31 ", 76.12 ," 175,075.77 ", 135.77 ," 285,113.22 ", 7.38 ," 5,903.76 "," 2,788,698.06 "," 1,218,012 "," 866,938,288.24 "," 11,389,114.91 ", -   , -   ," 1,570,686.06 "," 1,431,548.89 "," 1,488,810.85 ",0.00," 1,570,686.06 ",," 2,788,698.06 ",,,,,,,,,,,,,,,
