,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Croydon,TRUE,117,Croydon, 75.43 ," 315,434.46 ", 23.76 ," 55,738.85 ", 16.02 ," 34,304.34 ", -   , -   , -   , -   ," 405,477.65 "," 182,592 "," 160,644,110.69 "," 6,761,371.88 ", -   , -   ," 222,885.65 "," 363,375.15 "," 377,910.16 ","155,024.51","377,910.16", -   ," 377,910.16 ",," 560,502.16 ",,,,,,,,,
119,Dalton,TRUE,119,Dalton, 92.87 ," 388,386.10 ", 54.64 ," 128,182.86 ", 30.91 ," 66,203.44 ", -   , -   , -   , -   ," 582,772.40 "," 178,167 "," 164,568,498.80 "," 3,011,929.21 "," 6,324.12 "," 345,542.98 "," 750,148.38 "," 685,603.78 "," 713,027.93 ",0.00,"713,027.93", -   ," 750,148.38 ",," 928,315.38 ",,,,,,,,,
123,Danbury,TRUE,123,Danbury, 145.36 ," 607,887.99 ", 62.76 ," 147,241.29 ", 25.43 ," 54,474.27 ", 1.00 , 816.00 , -   , -   ," 810,419.55 "," 258,746 "," 216,780,915.36 "," 3,453,976.89 "," 5,572.64 "," 349,753.89 "," 901,427.44 "," 934,023.49 "," 971,384.43 ","69,956.99","971,384.43", -   ," 971,384.43 ",," 1,230,130.43 ",,,,,,,,,
125,Danville,TRUE,125,Danville, 566.86 ," 2,370,611.87 ", 96.37 ," 226,080.97 ", 125.14 ," 268,049.24 ", -   , -   , 0.45 ," 1,881.90 "," 2,866,623.98 "," 866,668 "," 736,376,844.50 "," 7,641,244.97 ", -   , -   ," 1,999,955.98 "," 2,662,309.05 "," 2,768,801.41 ","768,845.43","2,768,801.41", -   ," 2,768,801.41 ",," 3,635,469.41 ",,,,,,,,,
127,Deerfield,TRUE,127,Deerfield, 641.18 ," 2,681,424.38 ", 76.88 ," 180,349.22 ", 134.25 ," 287,555.36 ", 1.00 , 816.00 , -   , -   ," 3,150,144.96 "," 1,216,416 "," 1,105,420,690.32 "," 14,379,418.72 ", -   , -   ," 1,933,728.96 "," 2,167,249.40 "," 2,253,939.38 ","320,210.42","2,253,939.38", -   ," 2,253,939.38 ",," 3,470,355.38 ",,,,,,,,,
129,Deering,TRUE,129,Deering, 183.53 ," 767,527.48 ", 72.45 ," 169,957.14 ", 37.67 ," 80,685.93 ", 1.00 , 816.00 , -   , -   ," 1,018,986.55 "," 438,220 "," 378,461,475.11 "," 5,224,085.35 "," 2,563.45 "," 185,710.77 "," 766,477.32 "," 855,418.12 "," 889,634.84 ","123,157.52","889,634.84", -   ," 889,634.84 ",," 1,327,854.84 ",,,,,,,,,
131,Derry,TRUE,131,Derry," 4,500.54 "," 18,821,240.30 "," 1,083.05 "," 2,540,827.56 "," 1,019.74 "," 2,184,273.01 ", 54.07 ," 44,120.55 ", -   , -   ," 23,590,461.42 "," 6,368,359 "," 5,289,742,213.26 "," 4,884,131.23 "," 3,141.38 "," 3,402,257.89 "," 20,624,360.31 "," 24,175,956.90 "," 25,142,995.18 ","4,518,634.87","25,142,995.18", -   ," 25,142,995.18 ",," 31,511,354.18 ",,,,,,,,,
133,Dix's Grant,TRUE,133,Dix's Grant, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,650 "," 1,352,285.28 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,650.00 ",,,,,,,,,
134,Dixville,TRUE,134,Dixville, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 14,553 "," 43,788,977.15 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 14,553.00 ",,,,,,,,,
139,Dorchester,TRUE,139,Dorchester, 29.37 ," 122,834.54 ", 15.10 ," 35,424.60 ", 7.00 ," 14,994.00 ", 2.00 ," 1,632.00 ", -   , -   ," 174,885.14 "," 81,428 "," 68,596,653.91 "," 4,542,824.76 "," 3,721.60 "," 56,196.13 "," 149,653.27 "," 264,571.82 "," 275,154.69 ","125,501.42","275,154.69", -   ," 275,154.69 ",," 356,582.69 ",,,,,,,,,
141,Dover,TRUE,141,Dover," 3,307.90 "," 13,833,643.24 ", 926.03 ," 2,172,477.64 ", 700.69 ," 1,500,872.63 ", 114.74 ," 93,630.21 ", 0.83 ," 3,450.15 "," 17,604,073.87 "," 6,937,255 "," 5,798,769,649.75 "," 6,261,934.92 ", 799.11 ," 740,004.26 "," 11,406,823.13 "," 10,191,730.32 "," 10,599,399.53 ",0.00,"11,505,713.56", -   ," 11,406,823.13 ",," 18,344,078.13 ",,,,,,,,,
143,Dublin,TRUE,143,Dublin, 133.64 ," 558,882.06 ", 35.22 ," 82,632.69 ", 23.82 ," 51,016.23 ", 0.54 , 438.27 , -   , -   ," 692,969.25 "," 520,964 "," 432,340,432.64 "," 12,274,448.16 ", -   , -   ," 172,005.25 "," 175,204.67 "," 182,212.86 ","10,207.61","182,212.86", -   ," 182,212.86 ",," 703,176.86 ",,,,,,,,,
147,Dummer,TRUE,147,Dummer, 31.31 ," 130,917.51 ", 13.66 ," 32,035.33 ", 6.00 ," 12,852.00 ", -   , -   , -   , -   ," 175,804.84 "," 65,258 "," 151,232,678.64 "," 11,075,016.93 ", -   , -   ," 110,546.84 "," 110,708.85 "," 115,137.20 ","4,590.36","115,137.20", -   ," 115,137.20 ",," 180,395.20 ",,,,,,,,,
149,Dunbarton,TRUE,149,Dunbarton, 478.55 ," 2,001,295.26 ", 35.61 ," 83,532.85 ", 83.22 ," 178,264.52 ", -   , -   , -   , -   ," 2,263,092.63 "," 697,560 "," 609,967,822.06 "," 17,130,799.77 ", -   , -   ," 1,565,532.63 "," 1,351,766.93 "," 1,405,837.61 ",0.00,"1,537,470.79", -   ," 1,565,532.63 ",," 2,263,092.63 ",,,,,,,,,
151,Durham,TRUE,151,Durham, 886.12 ," 3,705,765.97 ", 53.41 ," 125,289.54 ", 143.20 ," 306,729.69 ", 20.54 ," 16,760.40 ", 0.45 ," 1,881.90 "," 4,156,427.50 "," 2,124,704 "," 1,843,008,917.20 "," 34,509,656.61 ", -   , -   ," 2,031,723.50 "," 1,476,723.72 "," 1,535,792.67 ",0.00,"2,027,487.15", -   ," 2,031,723.50 ",," 4,156,427.50 ",,,,,,,,,
153,East Kingston,TRUE,153,East Kingston, 278.61 ," 1,165,167.09 ", 21.42 ," 50,250.15 ", 72.06 ," 154,352.31 ", 1.00 , 816.00 , -   , -   ," 1,370,585.55 "," 648,795 "," 567,985,531.33 "," 26,517,217.08 ", -   , -   ," 721,790.55 "," 694,133.83 "," 721,899.18 ",108.63,"721,899.18", -   ," 721,899.18 ",," 1,370,694.18 ",,,,,,,,,
155,Easton,TRUE,155,Easton, 27.00 ," 112,914.00 ", 7.00 ," 16,422.00 ", 1.00 ," 2,142.00 ", -   , -   , -   , -   ," 131,478.00 "," 152,371 "," 126,781,629.91 "," 18,111,661.42 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 152,371.00 ",,,,,,,,,
159,Eaton,TRUE,159,Eaton, 31.44 ," 131,495.88 ", 9.97 ," 23,392.20 ", 5.47 ," 11,721.45 ", -   , -   , -   , -   ," 166,609.53 "," 191,433 "," 158,623,879.50 "," 15,908,363.12 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 191,433.00 ",,,,,,,,,
161,Effingham,TRUE,161,Effingham, 202.99 ," 848,911.29 ", 86.47 ," 202,853.93 ", 35.88 ," 76,846.82 ", -   , -   , -   , -   ," 1,128,612.04 "," 432,683 "," 361,756,288.29 "," 4,183,701.35 "," 4,332.11 "," 374,588.69 "," 1,070,517.73 "," 964,490.31 "," 1,003,069.92 ",0.00,"1,055,948.35", -   ," 1,070,517.73 ",," 1,503,200.73 ",,,,,,,,,
162,Ellsworth,TRUE,162,Ellsworth, 10.83 ," 45,300.68 ", 2.00 ," 4,692.00 ", 1.00 ," 2,142.00 ", -   , -   , -   , -   ," 52,134.68 "," 35,250 "," 29,575,920.79 "," 14,787,960.39 ", -   , -   ," 16,884.68 "," 49,660.61 "," 51,647.03 ","34,762.35","51,647.03", -   ," 51,647.03 ",," 86,897.03 ",,,,,,,,,
163,Enfield,TRUE,163,Enfield, 406.04 ," 1,698,071.83 ", 71.44 ," 167,592.14 ", 98.79 ," 211,617.60 ", 6.04 ," 4,927.74 ", -   , -   ," 2,082,209.31 "," 1,168,761 "," 972,114,584.05 "," 13,607,922.24 ", -   , -   ," 913,448.31 "," 947,432.60 "," 985,329.90 ","71,881.59","985,329.90", -   ," 985,329.90 ",," 2,154,090.90 ",,,,,,,,,
165,Epping,TRUE,165,Epping, 827.04 ," 3,458,663.30 ", 179.46 ," 421,011.28 ", 165.18 ," 353,811.92 ", 7.00 ," 5,712.00 ", -   , -   ," 4,239,198.50 "," 1,720,589 "," 1,436,274,317.66 "," 8,003,347.38 ", -   , -   ," 2,518,609.50 "," 3,064,152.24 "," 3,186,718.33 ","668,108.83","3,186,718.33", -   ," 3,186,718.33 ",," 4,907,307.33 ",,,,,,,,,
167,Epsom,TRUE,167,Epsom, 540.46 ," 2,260,216.27 ", 107.83 ," 252,975.98 ", 112.99 ," 242,016.23 ", 2.00 ," 1,632.00 ", -   , -   ," 2,756,840.48 "," 838,343 "," 697,401,213.74 "," 6,467,425.19 ", 449.78 ," 48,500.78 "," 1,966,998.26 "," 2,610,703.12 "," 2,715,131.24 ","748,132.98","2,715,131.24", -   ," 2,715,131.24 ",," 3,553,474.24 ",,,,,,,,,
171,Errol,TRUE,171,Errol, 17.11 ," 71,569.08 ", 1.00 ," 2,346.00 ", 2.00 ," 4,284.00 ", -   , -   , -   , -   ," 78,199.08 "," 166,117 "," 150,254,687.10 "," 150,254,687.10 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 166,117.00 ",,,,,,,,,
173,Exeter,TRUE,173,Exeter," 1,784.48 "," 7,462,708.32 ", 283.86 ," 665,946.59 ", 348.23 ," 745,903.95 ", 29.32 ," 23,921.94 ", 1.44 ," 6,022.08 "," 8,904,502.88 "," 4,288,616 "," 3,585,599,863.95 "," 12,631,369.32 ", -   , -   ," 4,615,886.88 "," 4,125,955.82 "," 4,290,994.05 ",0.00,"4,575,707.44", -   ," 4,615,886.88 ",," 8,904,502.88 ",,,,,,,,,
175,Farmington,TRUE,175,Farmington, 714.24 ," 2,986,967.15 ", 306.90 ," 719,980.36 ", 154.05 ," 329,964.60 ", 1.00 , 816.00 , -   , -   ," 4,037,728.11 "," 1,138,686 "," 951,962,035.26 "," 3,101,894.24 "," 6,171.18 "," 1,893,916.57 "," 4,792,958.68 "," 5,846,857.74 "," 6,080,732.05 ","1,287,773.37","6,080,732.05", -   ," 6,080,732.05 ",," 7,219,418.05 ",,,,,,,,,
177,Fitzwilliam,TRUE,177,Fitzwilliam, 223.03 ," 932,706.02 ", 68.65 ," 161,049.38 ", 47.95 ," 102,706.97 ", 1.00 , 816.00 , -   , -   ," 1,197,278.37 "," 532,697 "," 502,884,695.08 "," 7,325,501.58 ", -   , -   ," 664,581.37 "," 821,365.27 "," 854,219.88 ","189,638.51","854,219.88", -   ," 854,219.88 ",," 1,386,916.88 ",,,,,,,,,
179,Francestown,TRUE,179,Francestown, 141.86 ," 593,240.12 ", 20.57 ," 48,252.76 ", 25.57 ," 54,766.87 ", -   , -   , -   , -   ," 696,259.75 "," 433,984 "," 361,293,670.03 "," 17,565,728.97 ", -   , -   ," 262,275.75 "," 434,712.91 "," 452,101.43 ","189,825.68","452,101.43", -   ," 452,101.43 ",," 886,085.43 ",,,,,,,,,
183,Franconia,TRUE,183,Franconia, 91.29 ," 381,773.94 ", 17.00 ," 39,882.00 ", 12.00 ," 25,704.00 ", -   , -   , -   , -   ," 447,359.94 "," 682,994 "," 567,912,068.93 "," 33,406,592.29 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 682,994.00 ",,,,,,,,,
185,Franklin,TRUE,185,Franklin, 837.60 ," 3,502,854.07 ", 519.24 ," 1,218,145.02 ", 284.30 ," 608,960.10 ", 8.83 ," 7,207.81 ", -   , -   ," 5,337,167.00 "," 1,189,272 "," 1,077,068,321.85 "," 2,074,303.35 "," 7,918.08 "," 4,111,413.02 "," 8,259,308.02 "," 8,581,693.46 "," 8,924,961.20 ","665,653.18","8,924,961.20", -   ," 8,924,961.20 ",," 10,114,233.20 ",,,,,,,,,
187,Freedom,TRUE,187,Freedom, 102.60 ," 429,064.84 ", 43.32 ," 101,639.75 ", 31.68 ," 67,849.99 ", -   , -   , -   , -   ," 598,554.58 "," 1,274,070 "," 1,051,993,595.49 "," 24,281,612.92 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,274,070.00 ",,,,,,,,,
189,Fremont,TRUE,189,Fremont, 509.34 ," 2,130,055.70 ", 71.85 ," 168,567.14 ", 112.82 ," 241,669.65 ", 1.55 ," 1,264.80 ", -   , -   ," 2,541,557.29 "," 986,775 "," 808,831,601.29 "," 11,256,754.78 ", -   , -   ," 1,554,782.29 "," 1,365,704.75 "," 1,420,332.94 ",0.00,"1,566,779.17", -   ," 1,554,782.29 ",," 2,541,557.29 ",,,,,,,,,
191,Gilford,TRUE,191,Gilford, 895.96 ," 3,746,894.27 ", 142.70 ," 334,775.37 ", 134.64 ," 288,395.88 ", 4.00 ," 3,264.00 ", -   , -   ," 4,373,329.52 "," 4,499,636 "," 3,717,053,285.37 "," 26,047,934.56 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 4,499,636.00 ",,,,,,,,,
195,Gilmanton,TRUE,195,Gilmanton, 549.74 ," 2,299,017.70 ", 92.65 ," 217,345.40 ", 64.20 ," 137,514.04 ", 1.00 , 816.00 , -   , -   ," 2,654,693.14 "," 1,080,128 "," 897,794,741.00 "," 9,690,687.81 ", -   , -   ," 1,574,565.14 "," 1,403,657.77 "," 1,459,804.08 ",0.00,"1,541,817.89", -   ," 1,574,565.14 ",," 2,654,693.14 ",,,,,,,,,
197,Gilsum,TRUE,197,Gilsum, 73.30 ," 306,557.33 ", 39.04 ," 91,580.80 ", 14.77 ," 31,627.27 ", 2.00 ," 1,632.00 ", -   , -   ," 431,397.40 "," 118,786 "," 100,872,489.83 "," 2,584,022.59 "," 7,051.56 "," 275,271.81 "," 587,883.21 "," 544,212.78 "," 565,981.29 ",0.00,"565,981.29", -   ," 587,883.21 ",," 706,669.21 ",,,,,,,,,
199,Goffstown,TRUE,199,Goffstown," 2,166.71 "," 9,061,187.07 ", 350.93 ," 823,271.69 ", 464.70 ," 995,395.97 ", 31.02 ," 25,311.67 ", 0.81 ," 3,387.84 "," 10,908,554.24 "," 3,258,355 "," 2,794,287,029.88 "," 7,962,617.24 ", -   , -   ," 7,650,199.24 "," 7,539,444.29 "," 7,841,022.06 ","190,822.82","7,841,022.06", -   ," 7,841,022.06 ",," 11,099,377.06 ",,,,,,,,,
201,Gorham,TRUE,201,Gorham, 305.15 ," 1,276,145.66 ", 83.98 ," 197,010.04 ", 65.95 ," 141,263.83 ", -   , -   , -   , -   ," 1,614,419.53 "," 429,113 "," 432,198,534.76 "," 5,146,629.85 "," 2,695.13 "," 226,328.87 "," 1,411,635.40 "," 1,978,835.01 "," 2,057,988.41 ","646,353.01","2,057,988.41", -   ," 2,057,988.41 ",," 2,487,101.41 ",,,,,,,,,
203,Goshen,TRUE,203,Goshen, 81.94 ," 342,658.44 ", 34.25 ," 80,348.15 ", 17.52 ," 37,521.41 ", 1.00 , 816.00 , -   , -   ," 461,344.00 "," 158,287 "," 132,520,815.47 "," 3,869,333.86 "," 4,866.53 "," 166,673.87 "," 469,730.87 "," 441,170.46 "," 458,817.28 ",0.00,"458,817.28", -   ," 469,730.87 ",," 628,017.87 ",,,,,,,,,
209,Grafton,TRUE,209,Grafton, 144.14 ," 602,788.88 ", 63.72 ," 149,479.38 ", 39.23 ," 84,037.94 ", -   , -   , -   , -   ," 836,306.20 "," 263,669 "," 221,075,372.70 "," 3,469,661.37 "," 5,545.98 "," 353,371.27 "," 926,008.47 "," 842,149.37 "," 875,835.34 ",0.00,"875,835.34", -   ," 926,008.47 ",," 1,189,677.47 ",,,,,,,,,
211,Grantham,TRUE,211,Grantham, 434.50 ," 1,817,095.73 ", 21.20 ," 49,741.07 ", 51.63 ," 110,601.53 ", 3.00 ," 2,448.00 ", -   , -   ," 1,979,886.33 "," 1,034,381 "," 855,299,366.29 "," 40,339,552.71 ", -   , -   ," 945,505.33 "," 829,791.24 "," 862,982.89 ",0.00,"950,652.00", -   ," 945,505.33 ",," 1,979,886.33 ",,,,,,,,,
213,Greenfield,TRUE,213,Greenfield, 185.44 ," 775,505.06 ", 32.08 ," 75,257.80 ", 40.36 ," 86,448.98 ", 1.26 ," 1,030.53 ", -   , -   ," 938,242.37 "," 337,352 "," 282,320,505.44 "," 8,800,733.98 ", -   , -   ," 600,890.37 "," 925,986.74 "," 963,026.21 ","362,135.84","963,026.21", -   ," 963,026.21 ",," 1,300,378.21 ",,,,,,,,,
215,Greenland,TRUE,215,Greenland, 528.52 ," 2,210,275.66 ", 19.29 ," 45,256.22 ", 84.44 ," 180,866.20 ", 2.00 ," 1,632.00 ", -   , -   ," 2,438,030.08 "," 1,740,474 "," 1,471,394,338.24 "," 76,274,407.40 ", -   , -   ," 697,556.08 "," 615,499.03 "," 640,118.99 ",0.00,"689,617.04", -   ," 697,556.08 ",," 2,438,030.08 ",,,,,,,,,
219,Greenville,TRUE,219,Greenville, 227.37 ," 950,850.47 ", 99.81 ," 234,146.52 ", 52.30 ," 112,032.60 ", 1.74 ," 1,416.25 ", -   , -   ," 1,298,445.84 "," 237,049 "," 202,580,223.89 "," 2,029,725.70 "," 7,993.87 "," 797,841.42 "," 1,859,238.26 "," 2,108,678.05 "," 2,193,025.17 ","333,786.91","2,193,025.17", -   ," 2,193,025.17 ",," 2,430,074.17 ",,,,,,,,,
221,Groton,TRUE,221,Groton, 44.05 ," 184,219.61 ", 20.00 ," 46,920.00 ", 9.00 ," 19,278.00 ", -   , -   , -   , -   ," 250,417.61 "," 136,248 "," 229,170,312.14 "," 11,458,515.61 ", -   , -   ," 114,169.61 "," 285,464.84 "," 296,883.43 ","182,713.82","296,883.43", -   ," 296,883.43 ",," 433,131.43 ",,,,,,,,,
222,Hale's Location,TRUE,222,Hale's Location, 4.00 ," 16,728.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 16,728.00 "," 124,784 "," 102,738,350.62 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 124,784.00 ",,,,,,,,,
223,Hampstead,TRUE,223,Hampstead," 1,142.51 "," 4,777,977.24 ", 115.33 ," 270,571.69 ", 261.80 ," 560,776.46 ", 12.27 ," 10,009.63 ", -   , -   ," 5,619,335.02 "," 2,384,623 "," 1,971,323,952.28 "," 17,092,423.97 ", -   , -   ," 3,234,712.02 "," 2,420,341.70 "," 2,517,155.37 ",0.00,"3,096,673.86", -   ," 3,234,712.02 ",," 5,619,335.02 ",,,,,,,,,
225,Hampton,TRUE,225,Hampton," 1,418.68 "," 5,932,937.32 ", 231.70 ," 543,578.76 ", 267.35 ," 572,672.05 ", 41.30 ," 33,703.98 ", -   , -   ," 7,082,892.11 "," 6,854,153 "," 5,854,150,571.70 "," 25,265,588.59 ", -   , -   ," 228,739.11 ", -   , -   ,0.00,"74,372.97", -   ," 228,739.11 ",," 7,082,892.11 ",,,,,,,,,
227,Hampton Falls,TRUE,227,Hampton Falls, 284.55 ," 1,189,976.81 ", 18.00 ," 42,228.00 ", 60.99 ," 130,648.72 ", 1.58 ," 1,289.28 ", 0.60 ," 2,509.20 "," 1,366,652.01 "," 940,691 "," 782,419,306.88 "," 43,467,739.27 ", -   , -   ," 425,961.01 "," 322,113.11 "," 334,997.63 ",0.00,"408,499.21", -   ," 425,961.01 ",," 1,366,652.01 ",,,,,,,,,
231,Hancock,TRUE,231,Hancock, 146.63 ," 613,211.68 ", 28.47 ," 66,794.61 ", 33.25 ," 71,218.93 ", 1.00 , 816.00 , -   , -   ," 752,041.22 "," 496,013 "," 417,563,198.79 "," 14,665,903.29 ", -   , -   ," 256,028.22 "," 341,798.75 "," 355,470.70 ","99,442.48","355,470.70", -   ," 355,470.70 ",," 851,483.70 ",,,,,,,,,
233,Hanover,TRUE,233,Hanover," 1,066.12 "," 4,458,507.57 ", 39.15 ," 91,836.52 ", 138.50 ," 296,675.35 ", 32.32 ," 26,374.10 ", 0.38 ," 1,568.25 "," 4,874,961.79 "," 4,385,308 "," 3,618,873,999.56 "," 92,445,562.75 ", -   , -   ," 489,653.79 "," 522,773.52 "," 543,684.46 ","54,030.67","543,684.46", -   ," 543,684.46 ",," 4,928,992.46 ",,,,,,,,,
235,Harrisville,TRUE,235,Harrisville, 69.66 ," 291,324.81 ", 7.00 ," 16,422.00 ", 13.02 ," 27,882.63 ", -   , -   , -   , -   ," 335,629.44 "," 430,877 "," 356,446,537.81 "," 50,920,933.97 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 430,877.00 ",,,,,,,,,
236,Hart's Location,TRUE,236,Hart's Location, 1.00 ," 4,182.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,182.00 "," 28,962 "," 24,466,114.16 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 28,962.00 ",,,,,,,,,
238,Haverhill,TRUE,238,Haverhill, 511.38 ," 2,138,590.32 ", 197.03 ," 462,227.45 ", 114.53 ," 245,323.26 ", 2.00 ," 1,632.00 ", -   , -   ," 2,847,773.03 "," 696,809 "," 618,901,561.93 "," 3,141,187.43 "," 6,104.38 "," 1,202,733.44 "," 3,353,697.47 "," 4,403,299.46 "," 4,579,431.44 ","1,225,733.97","4,579,431.44", -   ," 4,579,431.44 ",," 5,276,240.44 ",,,,,,,,,
243,Hebron,TRUE,243,Hebron, 53.41 ," 223,360.62 ", 13.80 ," 32,382.54 ", 9.00 ," 19,278.00 ", -   , -   , -   , -   ," 275,021.16 "," 536,802 "," 447,070,402.82 "," 32,388,660.89 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 536,802.00 ",,,,,,,,,
245,Henniker,TRUE,245,Henniker, 554.72 ," 2,319,830.68 ", 105.81 ," 248,239.17 ", 118.20 ," 253,185.26 ", -   , -   , -   , -   ," 2,821,255.11 "," 893,827 "," 745,753,629.66 "," 7,047,791.78 ", -   , -   ," 1,927,428.11 "," 2,482,961.86 "," 2,582,280.33 ","654,852.22","2,582,280.33", -   ," 2,582,280.33 ",," 3,476,107.33 ",,,,,,,,,
247,Hill,TRUE,247,Hill, 112.27 ," 469,505.61 ", 43.27 ," 101,507.20 ", 20.38 ," 43,658.24 ", 1.00 , 816.00 , -   , -   ," 615,487.05 "," 185,717 "," 158,458,145.34 "," 3,662,231.05 "," 5,218.61 "," 225,799.74 "," 655,569.79 "," 405,583.21 "," 421,806.54 ",0.00,"667,469.41", -   ," 655,569.79 ",," 841,286.79 ",,,,,,,,,
249,Hillsboro,TRUE,249,Hillsboro, 730.00 ," 3,052,844.11 ", 315.03 ," 739,066.71 ", 178.94 ," 383,287.34 ", 12.21 ," 9,967.20 ", -   , -   ," 4,185,165.36 "," 1,026,666 "," 897,800,082.15 "," 2,849,863.15 "," 6,599.63 "," 2,079,100.09 "," 5,237,599.45 "," 5,416,237.89 "," 5,632,887.41 ","395,287.96","5,632,887.41", -   ," 5,632,887.41 ",," 6,659,553.41 ",,,,,,,,,
255,Hinsdale,TRUE,255,Hinsdale, 503.78 ," 2,106,809.63 ", 241.68 ," 566,982.22 ", 126.47 ," 270,903.67 ", 1.41 ," 1,146.97 ", -   , -   ," 2,945,842.49 "," 477,130 "," 529,714,714.34 "," 2,191,798.40 "," 7,718.34 "," 1,865,372.16 "," 4,334,084.65 "," 4,665,202.89 "," 4,851,811.01 ","517,726.36","4,851,811.01", -   ," 4,851,811.01 ",," 5,328,941.01 ",,,,,,,,,
