,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Croydon,TRUE,117,Croydon, 75.60 ," 322,493.47 ", 22.04 ," 52,747.61 ", 20.17 ," 44,059.05 ", -   , -   , -   , -   ," 419,300.13 "," 177,557 "," 167,227,446.96 "," 7,586,350.75 ", -   , -   ," 241,743.13 "," 155,024.51 ","124,019.60","337,595.98", -   ," 365,762.73 ",," 543,319.73 ",,,,,,
119,Dalton,TRUE,119,Dalton, 86.15 ," 367,499.39 ", 51.90 ," 124,200.68 ", 24.72 ," 54,000.29 ", 6.00 ," 4,993.92 ", -   , -   ," 550,694.28 "," 174,143 "," 173,399,680.32 "," 3,340,815.44 "," 7,792.07 "," 404,435.04 "," 780,986.32 ", -   ,0.00,"781,932.62", -   ," 780,986.32 ",," 955,129.32 ",,,,,,
123,Danbury,TRUE,123,Danbury, 137.49 ," 586,469.19 ", 55.04 ," 131,707.75 ", 23.31 ," 50,918.79 ", 2.00 ," 1,664.64 ", -   , -   ," 770,760.37 "," 254,268 "," 231,624,909.91 "," 4,208,255.54 "," 5,875.03 "," 323,365.16 "," 839,857.53 "," 69,956.99 ","55,965.59","1,006,422.33"," 60,278.09 "," 956,101.21 ",," 1,210,369.21 ",,,,,,
125,Danville,TRUE,125,Danville, 567.22 ," 2,419,562.29 ", 87.52 ," 209,419.03 ", 136.48 ," 298,193.30 ", -   , -   , -   , -   ," 2,927,174.62 "," 921,222 "," 851,661,780.75 "," 9,731,486.90 ", -   , -   ," 2,005,952.62 "," 768,845.43 ","615,076.35","2,625,158.73", -   ," 2,621,028.97 ",," 3,542,250.97 ",,,,,,
127,Deerfield,TRUE,127,Deerfield, 668.28 ," 2,850,630.38 ", 64.99 ," 155,517.31 ", 148.67 ," 324,829.78 ", -   , -   , -   , -   ," 3,330,977.47 "," 1,256,168 "," 1,240,337,436.07 "," 19,084,874.37 ", -   , -   ," 2,074,809.47 "," 320,210.42 ","256,168.33","2,313,797.65", -   ," 2,330,977.80 ",," 3,587,145.80 ",,,,,,
129,Deering,TRUE,129,Deering, 178.41 ," 761,023.87 ", 63.84 ," 152,773.11 ", 37.20 ," 81,283.48 ", 1.00 , 832.32 , -   , -   ," 995,912.78 "," 421,826 "," 393,643,092.82 "," 6,165,721.54 "," 1,549.03 "," 98,895.95 "," 672,982.73 "," 123,157.52 ","98,526.02","814,228.23"," 2,008.07 "," 773,516.82 ",," 1,195,342.82 ",,,,,,
131,Derry,TRUE,131,Derry," 4,365.39 "," 18,621,182.20 "," 1,017.13 "," 2,433,907.61 ", 942.28 ," 2,058,740.43 ", 58.30 ," 48,525.17 ", -   , -   ," 23,162,355.41 "," 6,334,154 "," 5,728,761,997.52 "," 5,632,288.22 "," 2,727.92 "," 2,774,643.11 "," 19,602,844.52 "," 4,518,634.87 ","3,614,907.89","24,197,573.18", -   ," 23,217,752.41 ",," 29,551,906.41 ",,,,,,
133,Dix's Grant,TRUE,133,Dix's Grant, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,519 "," 1,356,556.81 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,519.00 ",,,,,,
134,Dixville,TRUE,134,Dixville, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 11,493 "," 10,481,219.94 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 11,493.00 ",,,,,,
139,Dorchester,TRUE,139,Dorchester, 28.87 ," 123,134.52 ", 13.87 ," 33,181.66 ", 6.73 ," 14,711.18 ", -   , -   , -   , -   ," 171,027.36 "," 79,926 "," 72,969,951.21 "," 5,262,281.40 "," 3,545.63 "," 49,165.87 "," 140,267.23 "," 125,501.42 ","100,401.14","265,800.67"," 11,842.27 "," 252,510.64 ",," 332,436.64 ",,,,,,
141,Dover,TRUE,141,Dover," 3,223.56 "," 13,750,527.71 ", 900.00 ," 2,153,624.65 ", 665.02 ," 1,452,957.93 ", 125.67 ," 104,595.32 ", 1.58 ," 6,756.77 "," 17,468,462.38 "," 7,348,968 "," 6,683,354,492.59 "," 7,425,960.99 ", -   , -   ," 10,119,494.38 ", -   ,0.00,"10,263,590.75", -   ," 10,119,494.38 ",," 17,468,462.38 ",,,,,,
143,Dublin,TRUE,143,Dublin, 129.60 ," 552,840.17 ", 31.49 ," 75,361.19 ", 22.87 ," 49,965.76 ", 0.82 , 685.75 , -   , -   ," 678,852.87 "," 525,642 "," 474,568,788.20 "," 15,068,833.10 ", -   , -   ," 153,210.87 "," 10,207.61 ","8,166.09","193,888.29"," 22,816.92 "," 184,193.88 ",," 709,835.88 ",,,,,,
147,Dummer,TRUE,147,Dummer, 30.14 ," 128,555.30 ", 9.42 ," 22,538.43 ", 5.73 ," 12,512.80 ", -   , -   , -   , -   ," 163,606.53 "," 75,938 "," 189,433,117.82 "," 20,112,234.87 ", -   , -   ," 87,668.53 "," 4,590.36 ","3,672.29","93,452.65", -   ," 91,340.82 ",," 167,278.82 ",,,,,,
149,Dunbarton,TRUE,149,Dunbarton, 464.66 ," 1,982,092.76 ", 25.12 ," 60,113.74 ", 73.80 ," 161,231.58 ", -   , -   , -   , -   ," 2,203,438.08 "," 708,177 "," 670,130,199.89 "," 26,675,564.75 ", -   , -   ," 1,495,261.08 ", -   ,0.00,"1,533,249.93", -   ," 1,495,261.08 ",," 2,203,438.08 ",,,,,,
151,Durham,TRUE,151,Durham, 865.11 ," 3,690,241.42 ", 47.66 ," 114,052.55 ", 129.92 ," 283,856.60 ", 22.12 ," 18,411.25 ", -   , -   ," 4,106,561.82 "," 2,181,076 "," 2,057,334,964.55 "," 43,164,646.52 ", -   , -   ," 1,925,485.82 ", -   ,0.00,"1,938,547.16", -   ," 1,925,485.82 ",," 4,106,561.82 ",,,,,,
153,East Kingston,TRUE,153,East Kingston, 274.16 ," 1,169,465.30 ", 21.81 ," 52,193.89 ", 71.10 ," 155,347.80 ", -   , -   , -   , -   ," 1,377,006.99 "," 608,589 "," 575,071,034.35 "," 26,365,134.21 ", -   , -   ," 768,417.99 ", 108.63 ,86.91,"767,918.80", -   ," 768,504.90 ",," 1,377,093.90 ",,,,,,
155,Easton,TRUE,155,Easton, 27.87 ," 118,895.76 ", 9.00 ," 21,536.28 ", 1.00 ," 2,184.84 ", -   , -   , -   , -   ," 142,616.88 "," 140,025 "," 126,869,962.88 "," 14,096,662.54 ", -   , -   ," 2,591.88 ", -   ,0.00,0.00, -   ," 2,591.88 ",," 142,616.88 ",,,,,,
159,Eaton,TRUE,159,Eaton, 34.44 ," 146,909.49 ", 5.46 ," 13,075.15 ", 7.00 ," 15,293.88 ", -   , -   , 0.38 ," 1,599.62 "," 176,878.14 "," 211,553 "," 191,047,826.16 "," 34,964,189.19 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 211,553.00 ",,,,,,
161,Effingham,TRUE,161,Effingham, 215.35 ," 918,620.08 ", 112.34 ," 268,810.82 ", 51.99 ," 113,586.99 ", -   , -   , -   , -   ," 1,301,017.89 "," 377,871 "," 342,756,715.10 "," 3,051,177.01 "," 8,432.17 "," 947,235.77 "," 1,870,382.66 ", -   ,0.00,"1,502,506.38", -   ," 1,870,382.66 ",," 2,248,253.66 ",,,,,,
162,Ellsworth,TRUE,162,Ellsworth, 11.00 ," 46,922.04 ", 5.00 ," 11,964.60 ", 1.00 ," 2,184.84 ", -   , -   , -   , -   ," 61,071.48 "," 34,505 "," 31,291,957.08 "," 6,258,391.42 "," 1,344.23 "," 6,721.15 "," 33,287.63 "," 34,762.35 ","27,809.88","60,372.35", -   ," 61,097.51 ",," 95,602.51 ",,,,,,
163,Enfield,TRUE,163,Enfield, 389.65 ," 1,662,112.60 ", 66.70 ," 159,615.66 ", 92.50 ," 202,097.70 ", 5.00 ," 4,161.60 ", -   , -   ," 2,027,987.56 "," 1,192,321 "," 1,078,474,140.99 "," 16,168,227.67 ", -   , -   ," 835,666.56 "," 71,881.59 ","57,505.28","900,220.20", -   ," 893,171.84 ",," 2,085,492.84 ",,,,,,
165,Epping,TRUE,165,Epping, 834.04 ," 3,557,697.32 ", 178.12 ," 426,235.29 ", 170.35 ," 372,194.27 ", 5.00 ," 4,161.60 ", -   , -   ," 4,360,288.48 "," 1,786,082 "," 1,620,148,020.13 "," 9,095,644.43 ", -   , -   ," 2,574,206.48 "," 668,108.83 ","534,487.06","3,072,405.88", -   ," 3,108,693.54 ",," 4,894,775.54 ",,,,,,
167,Epsom,TRUE,167,Epsom, 540.36 ," 2,304,994.45 ", 104.05 ," 248,986.20 ", 122.75 ," 268,179.93 ", 1.00 , 832.32 , -   , -   ," 2,822,992.90 "," 958,555 "," 867,850,190.39 "," 8,340,607.22 ", -   , -   ," 1,864,437.90 "," 748,132.98 ","598,506.39","2,452,045.71", -   ," 2,462,944.29 ",," 3,421,499.29 ",,,,,,
171,Errol,TRUE,171,Errol, 15.72 ," 67,072.50 ", 2.16 ," 5,167.51 ", 2.00 ," 4,369.68 ", -   , -   , -   , -   ," 76,609.69 "," 150,604 "," 145,246,333.98 "," 67,259,242.41 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 150,604.00 ",,,,,,
173,Exeter,TRUE,173,Exeter," 1,763.26 "," 7,521,439.21 ", 244.48 ," 585,021.32 ", 346.10 ," 756,180.99 ", 29.58 ," 24,620.77 ", 0.60 ," 2,559.38 "," 8,889,821.67 "," 4,067,838 "," 3,701,263,028.89 "," 15,139,322.30 ", -   , -   ," 4,821,983.67 ", -   ,0.00,"4,908,049.42", -   ," 4,821,983.67 ",," 8,889,821.67 ",,,,,,
175,Farmington,TRUE,175,Farmington, 706.59 ," 3,014,052.60 ", 291.76 ," 698,155.23 ", 166.11 ," 362,917.44 ", 6.40 ," 5,323.69 ", -   , -   ," 4,080,448.96 "," 1,080,183 "," 979,223,981.11 "," 3,356,280.31 "," 7,757.89 "," 2,263,433.33 "," 5,263,699.29 "," 1,287,773.37 ","1,030,218.70","6,475,382.98", -   ," 6,293,917.99 ",," 7,374,100.99 ",,,,,,
177,Fitzwilliam,TRUE,177,Fitzwilliam, 216.38 ," 923,002.60 ", 84.03 ," 201,079.46 ", 45.48 ," 99,365.43 ", 1.00 , 832.32 , -   , -   ," 1,224,279.81 "," 561,062 "," 581,041,228.99 "," 6,914,605.67 ", -   , -   ," 663,217.81 "," 189,638.51 ","151,710.81","819,151.16", -   ," 814,928.62 ",," 1,375,990.62 ",,,,,,
179,Francestown,TRUE,179,Francestown, 143.57 ," 612,422.20 ", 15.61 ," 37,348.70 ", 27.95 ," 61,075.67 ", 2.00 ," 1,664.64 ", -   , -   ," 712,511.21 "," 441,903 "," 399,588,379.94 "," 25,601,510.76 ", -   , -   ," 270,608.21 "," 189,825.68 ","151,860.54","404,455.92", -   ," 422,468.75 ",," 864,371.75 ",,,,,,
183,Franconia,TRUE,183,Franconia, 100.74 ," 429,709.48 ", 15.44 ," 36,940.70 ", 12.00 ," 26,218.08 ", -   , -   , -   , -   ," 492,868.26 "," 693,028 "," 625,768,508.35 "," 40,535,611.88 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 693,028.00 ",,,,,,
185,Franklin,TRUE,185,Franklin, 813.64 ," 3,470,691.92 ", 478.86 ," 1,145,867.93 ", 302.74 ," 661,443.92 ", 4.40 ," 3,665.29 ", -   , -   ," 5,281,669.06 "," 1,256,643 "," 1,244,130,438.42 "," 2,598,121.94 "," 9,433.42 "," 4,517,267.21 "," 8,542,293.27 "," 665,653.18 ","532,522.54","9,368,124.24", -   ," 9,074,815.81 ",," 10,331,458.81 ",,,,,,
187,Freedom,TRUE,187,Freedom, 96.72 ," 412,566.73 ", 40.72 ," 97,445.45 ", 27.88 ," 60,903.73 ", 1.00 , 832.32 , -   , -   ," 571,748.23 "," 1,283,652 "," 1,154,062,798.09 "," 28,339,754.00 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,283,652.00 ",,,,,,
189,Fremont,TRUE,189,Fremont, 468.50 ," 1,998,453.62 ", 70.29 ," 168,193.32 ", 90.44 ," 197,605.45 ", -   , -   , -   , -   ," 2,364,252.39 "," 975,181 "," 881,182,921.89 "," 12,536,765.53 ", -   , -   ," 1,389,071.39 ", -   ,0.00,"1,396,111.47", -   ," 1,389,071.39 ",," 2,364,252.39 ",,,,,,
191,Gilford,TRUE,191,Gilford, 861.44 ," 3,674,608.70 ", 134.11 ," 320,908.52 ", 121.18 ," 264,754.98 ", 3.00 ," 2,496.96 ", -   , -   ," 4,262,769.16 "," 4,069,063 "," 3,658,005,112.25 "," 27,276,663.22 ", -   , -   ," 193,706.16 ", -   ,0.00,"206,982.67"," 2,927.38 "," 196,633.54 ",," 4,265,696.54 ",,,,,,
195,Gilmanton,TRUE,195,Gilmanton, 517.04 ," 2,205,494.56 ", 96.95 ," 231,997.42 ", 60.09 ," 131,292.50 ", -   , -   , -   , -   ," 2,568,784.48 "," 1,067,325 "," 962,540,312.67 "," 9,928,049.80 ", -   , -   ," 1,501,459.48 ", -   ,0.00,"1,507,741.52", -   ," 1,501,459.48 ",," 2,568,784.48 ",,,,,,
197,Gilsum,TRUE,197,Gilsum, 71.05 ," 303,057.94 ", 30.00 ," 71,788.32 ", 14.05 ," 30,688.26 ", 1.00 , 832.32 , -   , -   ," 406,366.84 "," 119,303 "," 110,219,611.71 "," 3,673,950.32 "," 7,055.84 "," 211,677.44 "," 498,741.28 ", -   ,0.00,"606,127.56"," 77,079.90 "," 575,821.18 ",," 695,124.18 ",,,,,,
199,Goffstown,TRUE,199,Goffstown," 2,157.07 "," 9,201,279.81 ", 330.32 ," 790,441.06 ", 478.29 ," 1,044,979.70 ", 27.53 ," 22,916.77 ", 1.23 ," 5,246.74 "," 11,064,864.08 "," 3,125,354 "," 2,913,056,061.35 "," 8,818,760.14 ", -   , -   ," 7,939,510.08 "," 190,822.82 ","152,658.26","8,127,892.37", -   ," 8,092,168.34 ",," 11,217,522.34 ",,,,,,
201,Gorham,TRUE,201,Gorham, 300.98 ," 1,283,874.03 ", 87.89 ," 210,312.06 ", 67.85 ," 148,230.69 ", 3.06 ," 2,550.56 ", -   , -   ," 1,644,967.34 "," 413,492 "," 455,407,907.14 "," 5,181,608.08 "," 3,723.92 "," 327,292.77 "," 1,558,768.11 "," 646,353.01 ","517,082.41","2,123,385.74", -   ," 2,075,850.52 ",," 2,489,342.52 ",,,,,,
203,Goshen,TRUE,203,Goshen, 71.31 ," 304,163.59 ", 21.68 ," 51,869.65 ", 8.60 ," 18,797.27 ", 1.00 , 832.32 , -   , -   ," 375,662.83 "," 160,018 "," 146,301,763.09 "," 6,749,388.18 ", 259.13 ," 5,616.90 "," 221,261.73 ", -   ,0.00,"374,573.69"," 134,583.28 "," 355,845.01 ",," 515,863.01 ",,,,,,
209,Grafton,TRUE,209,Grafton, 136.13 ," 580,696.08 ", 58.54 ," 140,092.07 ", 38.29 ," 83,667.36 ", -   , -   , -   , -   ," 804,455.51 "," 254,412 "," 231,032,727.33 "," 3,946,282.26 "," 6,453.99 "," 377,845.01 "," 927,888.52 ", -   ,0.00,"1,020,448.81"," 41,537.85 "," 969,426.37 ",," 1,223,838.37 ",,,,,,
211,Grantham,TRUE,211,Grantham, 410.46 ," 1,750,872.46 ", 16.94 ," 40,531.04 ", 50.29 ," 109,865.99 ", 4.40 ," 3,662.21 ", -   , -   ," 1,904,931.70 "," 1,072,101 "," 971,372,470.76 "," 57,349,049.81 ", -   , -   ," 832,830.70 ", -   ,0.00,"854,957.82", -   ," 832,830.70 ",," 1,904,931.70 ",,,,,,
213,Greenfield,TRUE,213,Greenfield, 182.90 ," 780,178.73 ", 37.14 ," 88,866.35 ", 48.42 ," 105,797.82 ", 1.00 , 832.32 , -   , -   ," 975,675.22 "," 344,267 "," 312,918,973.34 "," 8,426,024.94 ", -   , -   ," 631,408.22 "," 362,135.84 ","289,708.67","892,376.53", -   ," 921,116.89 ",," 1,265,383.89 ",,,,,,
215,Greenland,TRUE,215,Greenland, 520.80 ," 2,221,566.21 ", 22.70 ," 54,321.20 ", 87.90 ," 192,041.10 ", 2.00 ," 1,664.64 ", -   , -   ," 2,469,593.15 "," 1,587,207 "," 1,453,811,387.18 "," 64,042,297.50 ", -   , -   ," 882,386.15 ", -   ,0.00,"846,854.37", -   ," 882,386.15 ",," 2,469,593.15 ",,,,,,
219,Greenville,TRUE,219,Greenville, 235.99 ," 1,006,664.59 ", 114.97 ," 275,113.53 ", 60.38 ," 131,919.98 ", 3.00 ," 2,496.96 ", -   , -   ," 1,416,195.06 "," 243,918 "," 225,274,335.31 "," 1,959,421.82 "," 10,844.95 "," 1,246,841.98 "," 2,419,119.04 "," 333,786.91 ","267,029.53","2,466,225.05", -   ," 2,686,148.57 ",," 2,930,066.57 ",,,,,,
221,Groton,TRUE,221,Groton, 41.20 ," 175,744.37 ", 17.60 ," 42,115.39 ", 7.00 ," 15,293.88 ", -   , -   , -   , -   ," 233,153.64 "," 128,951 "," 223,279,214.78 "," 12,686,319.02 ", -   , -   ," 104,202.64 "," 182,713.82 ","146,171.06","238,386.14", -   ," 250,373.70 ",," 379,324.70 ",,,,,,
222,Hale's Location,TRUE,222,Hale's Location, 2.00 ," 8,531.28 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,531.28 "," 131,844 "," 118,272,019.03 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 131,844.00 ",,,,,,
223,Hampstead,TRUE,223,Hampstead," 1,125.19 "," 4,799,644.38 ", 108.46 ," 259,536.34 ", 263.11 ," 574,860.03 ", 10.00 ," 8,323.20 ", -   , -   ," 5,642,363.95 "," 2,357,569 "," 2,122,559,793.01 "," 19,569,959.76 ", -   , -   ," 3,284,794.95 ", -   ,0.00,"3,241,449.94", -   ," 3,284,794.95 ",," 5,642,363.95 ",,,,,,
225,Hampton,TRUE,225,Hampton," 1,366.20 "," 5,827,701.16 ", 239.68 ," 573,526.93 ", 243.74 ," 532,537.05 ", 43.26 ," 36,008.99 ", 0.60 ," 2,559.38 "," 6,972,333.51 "," 6,813,213 "," 6,360,222,126.22 "," 26,536,683.71 ", -   , -   ," 159,120.51 ", -   ,0.00,"205,241.25"," 35,858.67 "," 194,979.18 ",," 7,008,192.18 ",,,,,,
227,Hampton Falls,TRUE,227,Hampton Falls, 274.74 ," 1,171,924.02 ", 15.98 ," 38,233.36 ", 62.47 ," 136,483.46 ", -   , -   , -   , -   ," 1,346,640.84 "," 992,290 "," 896,190,140.20 "," 56,090,059.28 ", -   , -   ," 354,350.84 ", -   ,0.00,"361,899.99", -   ," 354,350.84 ",," 1,346,640.84 ",,,,,,
231,Hancock,TRUE,231,Hancock, 151.66 ," 646,947.44 ", 36.06 ," 86,294.68 ", 37.60 ," 82,155.01 ", -   , -   , -   , -   ," 815,397.13 "," 463,417 "," 424,837,131.32 "," 11,780,579.03 ", -   , -   ," 351,980.13 "," 99,442.48 ","79,553.98","399,373.49", -   ," 431,534.11 ",," 894,951.11 ",,,,,,
233,Hanover,TRUE,233,Hanover," 1,098.59 "," 4,686,181.77 ", 42.47 ," 101,632.58 ", 140.92 ," 307,895.30 ", 36.65 ," 30,506.03 ", -   , -   ," 5,126,215.68 "," 4,394,500 "," 3,948,130,443.78 "," 92,957,992.38 ", -   , -   ," 731,715.68 "," 54,030.67 ","43,224.54","741,013.84", -   ," 774,940.22 ",," 5,169,440.22 ",,,,,,
235,Harrisville,TRUE,235,Harrisville, 76.01 ," 324,236.42 ", 11.00 ," 26,322.12 ", 16.00 ," 34,957.44 ", -   , -   , -   , -   ," 385,515.98 "," 376,054 "," 338,984,494.99 "," 30,816,772.27 ", -   , -   ," 9,461.98 ", -   ,0.00,0.00, -   ," 9,461.98 ",," 385,515.98 ",,,,,,
236,Hart's Location,TRUE,236,Hart's Location, 1.00 ," 4,265.64 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,265.64 "," 26,614 "," 24,537,685.18 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 26,614.00 ",,,,,,
238,Haverhill,TRUE,238,Haverhill, 504.00 ," 2,149,879.57 ", 162.18 ," 388,075.63 ", 106.33 ," 232,303.99 ", 9.00 ," 7,490.88 ", -   , -   ," 2,777,750.07 "," 751,459 "," 711,242,643.37 "," 4,385,605.84 "," 5,483.09 "," 889,228.16 "," 2,915,519.23 "," 1,225,733.97 ","980,587.17","4,284,781.60"," 174,436.12 "," 4,070,542.52 ",," 4,822,001.52 ",,,,,,
243,Hebron,TRUE,243,Hebron, 49.00 ," 209,016.36 ", 13.00 ," 31,107.96 ", 10.00 ," 21,848.40 ", -   , -   , -   , -   ," 261,972.72 "," 635,781 "," 576,237,764.42 "," 44,325,981.88 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 635,781.00 ",,,,,,
245,Henniker,TRUE,245,Henniker, 577.26 ," 2,462,399.56 ", 125.16 ," 299,490.21 ", 125.12 ," 273,363.25 ", 3.20 ," 2,665.59 ", -   , -   ," 3,037,918.61 "," 895,030 "," 813,163,930.40 "," 6,497,161.40 ", 816.55 ," 102,196.50 "," 2,245,085.11 "," 654,852.22 ","523,881.78","2,621,362.12", -   ," 2,768,966.89 ",," 3,663,996.89 ",,,,,,
247,Hill,TRUE,247,Hill, 107.40 ," 458,145.09 ", 41.02 ," 98,165.95 ", 14.55 ," 31,784.62 ", -   , -   , -   , -   ," 588,095.66 "," 197,377 "," 182,117,001.98 "," 4,439,333.60 "," 5,364.35 "," 220,064.29 "," 610,782.95 ", -   ,0.00,"650,473.40"," 7,166.78 "," 617,949.73 ",," 815,326.73 ",,,,,,
249,Hillsboro,TRUE,249,Hillsboro, 684.35 ," 2,919,186.47 ", 290.14 ," 694,269.84 ", 173.92 ," 379,993.05 ", 7.25 ," 6,034.40 ", 0.26 ," 1,119.73 "," 4,000,603.49 "," 1,070,526 "," 1,011,875,478.66 "," 3,487,602.25 "," 7,467.67 "," 2,166,633.43 "," 5,096,710.92 "," 395,287.96 ","316,230.36","5,610,067.24", -   ," 5,412,941.28 ",," 6,483,467.28 ",,,,,,
