,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"SFY 2023
Charter Public School Adequacy",Cost of an Opportunity for an Adequate Education ,,,,,,,,,,,Additional Grant1,Grant Calculation,"Final Grant To Charter School Directly

(Subtract Special Education Differential Aid Sent To Responsible District School)",
,,Base Adequacy,,Differentiated Aid,,,,,,,,Total Calculated Cost of an Adequate Education,,,,
,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,Receiving Special Education Services (SPED)2,,English Language Learners (ELL),,3rd Grader With A Nonproficient Reading Score (3rd Grade),,,,,,
,,ADM,"$3,786.66 ","F&R 
ADM ","$1,893.32 ","SPED 
ADM","$2,037.11 ","ELL
ADM",$740.87 ,"3rd Grade Reading
ADM",$740.87 ,,"$3,552.28 ","Cost of Adequacy
+
Additional Grant",,
,,"(ADM x $3,786.66)",,"(F&R ADM x $1,893.32)",,"(SPED ADM x $2,037.11)",,(ELL ADM x $740.87),,(3rd Grade ADM x $740.87),,,"(Pupil x $3,479.22)1",,,
,State Total,"6,761 "," $25,602,441 "," 1,055 "," $1,997,269 ", 770 ," $1,569,299 ", 117 ," $86,979 ", 106 ," $78,337 "," $29,334,325 "," $21,568,402 "," $50,902,727 "," $49,333,428 ",
,Academy of Science and Design Charter School,536," 2,031,354 ", 14 ," 25,976 ", 12 ," 24,868 ", 9 ," 6,323 ", - , - ," 2,088,522 "," 1,905,621 "," 3,994,143 "," 3,969,274 ",
,Birches Academy of Academics & Arts,223," 845,978 ", 10 ," 19,259 ", 38 ," 77,433 ", 10 ," 7,409 ", 3 ," 1,910 "," 951,988 "," 793,615 "," 1,745,603 "," 1,668,170 ",
,Coastal Waters,101," 380,673 ", 32 ," 59,947 ", 17 ," 34,725 ", - , - , 1 , 593 ," 475,938 "," 357,111 "," 833,049 "," 798,324 ",
,Compass Classical Academy,125," 472,121 ", 82 ," 154,363 ", 37 ," 75,726 ", 2 ," 1,482 ", 3 ," 2,466 "," 706,157 "," 442,898 "," 1,149,056 "," 1,073,330 ",
,CSI Charter School,37," 139,008 ", 7 ," 13,698 ", 7 ," 14,726 ", - , - , - , - ," 167,432 "," 130,404 "," 297,837 "," 283,110 ",
,Founders Academy Charter School,413," 1,565,064 ", 92 ," 174,105 ", 38 ," 76,953 ", 6 ," 4,724 ", - , - ," 1,820,846 "," 1,468,193 "," 3,289,039 "," 3,212,086 ",
,Gate City Charter School for the Arts,152," 574,929 ", 49 ," 93,648 ", 27 ," 55,397 ", 2 ," 1,482 ", 6 ," 4,788 "," 730,243 "," 539,343 "," 1,269,586 "," 1,214,189 ",
,Gathering Waters Charter School,259," 980,063 ", 49 ," 91,928 ", 36 ," 72,819 ", 4 ," 3,240 ", 8 ," 5,875 "," 1,153,925 "," 919,401 "," 2,073,326 "," 2,000,508 ",
,Granite State Arts Academy Charter School,117," 442,661 ", 19 ," 36,395 ", 14 ," 27,914 ", - , - , - , - ," 506,970 "," 415,262 "," 922,232 "," 894,317 ",
,Great Bay Charter School,141," 533,237 ", 36 ," 68,072 ", 43 ," 87,469 ", - , - , - , - ," 688,778 "," 500,232 "," 1,189,010 "," 1,101,542 ",
,Heartwood Charter Schools,38," 145,408 ", 18 ," 33,212 ", 9 ," 18,334 ", - , - , 1 , 443 ," 197,397 "," 136,408 "," 333,804 "," 315,470 ",
,Kreiva Academy Public Charter School,154," 583,297 ", 108 ," 205,070 ", 40 ," 82,428 ", 3 ," 2,163 ", - , - ," 872,958 "," 547,193 "," 1,420,151 "," 1,337,723 ",
,Leaf Charter School,93," 350,418 ", 16 ," 29,694 ", 11 ," 23,370 ", 1 , 741 , - , - ," 404,223 "," 328,728 "," 732,951 "," 709,580 ",
,Ledyard Charter Academy,42," 160,744 ", 34 ," 63,752 ", 11 ," 21,568 ", - , - , - , - ," 246,064 "," 150,794 "," 396,858 "," 375,290 ",
,Lionheart,187," 707,878 ", 12 ," 23,559 ", 13 ," 27,457 ", 1 , 741 , 13 ," 9,631 "," 769,267 "," 664,063 "," 1,433,330 "," 1,405,873 ",
,Making Community Connections (MC2) Charter School - Manchester,61," 229,244 ", 19 ," 35,680 ", 14 ," 29,526 ", 0 , 176 , - , - ," 294,626 "," 215,055 "," 509,681 "," 480,155 ",
,MicroSociety Academy Charter School of So. NH,300," 1,136,301 ", 45 ," 85,336 ", 31 ," 62,933 ", 29 ," 21,848 ", 12 ," 8,890 "," 1,315,309 "," 1,065,968 "," 2,381,277 "," 2,318,343 ",
,Mill Falls Charter School,167," 634,228 ", 30 ," 57,658 ", 33 ," 67,121 ", 11 ," 7,858 ", 5 ," 3,480 "," 770,344 "," 594,971 "," 1,365,316 "," 1,298,195 ",
,Mountain Village Charter School,107," 403,885 ", 16 ," 31,124 ", 20 ," 41,235 ", - , - , 5 ," 3,381 "," 479,625 "," 378,886 "," 858,511 "," 817,276 ",
,Next Charter School ,79," 298,275 ", 22 ," 41,007 ", 34 ," 69,489 ", - , - , - , - ," 408,771 "," 279,813 "," 688,584 "," 619,096 ",
,North Country Charter Academy,40," 149,914 ", 24 ," 45,845 ", 4 ," 8,488 ", - , - , - , - ," 204,248 "," 140,635 "," 344,882 "," 336,394 ",
,Northeast Woodland Chartered Public School,143," 541,000 ", 32 ," 59,995 ", 15 ," 30,970 ", - , - , 8 ," 5,857 "," 637,822 "," 507,514 "," 1,145,336 "," 1,114,367 ",
,Polaris Charter School,120," 452,998 ", 39 ," 73,585 ", 22 ," 45,283 ", 7 ," 5,042 ", 3 ," 2,223 "," 579,131 "," 424,959 "," 1,004,090 "," 958,807 ",
,Robert Frost Charter School,26," 99,476 ", 19 ," 35,243 ", 5 ," 10,722 ", - , - , - , - ," 145,440 "," 93,318 "," 238,759 "," 228,037 ",
,Seacoast Charter School,295," 1,117,368 ", 40 ," 76,464 ", 54 ," 109,790 ", 12 ," 8,788 ", 13 ," 9,631 "," 1,322,041 "," 1,048,207 "," 2,370,247 "," 2,260,458 ",
,Spark Academy of Advanced Technologies,86," 326,069 ", 6 ," 11,360 ", 8 ," 16,702 ", 1 , 741 , - , - ," 354,872 "," 305,887 "," 660,759 "," 644,057 ",
,Strong Foundations Charter School,317," 1,199,084 ", 78 ," 147,595 ", 80 ," 163,764 ", 16 ," 11,854 ", 10 ," 7,409 "," 1,529,706 "," 1,124,865 "," 2,654,571 "," 2,490,806 ",
,Surry Village Charter School,94," 356,514 ", 29 ," 54,337 ", 28 ," 56,473 ", 1 , 741 , 2 ," 1,482 "," 469,546 "," 334,447 "," 803,994 "," 747,521 ",
,Virtual Learning Academy Charter School1,"1,962"," 7,430,866 ", 69 ," 131,037 ", 26 ," 53,046 ", 0 , 146 , - , - ," 7,615,095 "," 4,521,579 "," 12,136,674 "," 12,083,628 ",
,Windham Academy Public Charter School,347," 1,314,388 ", 10 ," 18,323 ", 41 ," 82,571 ", 2 ," 1,482 ", 14 ," 10,278 "," 1,427,042 "," 1,233,032 "," 2,660,073 "," 2,577,503 ",
,"1 Virtual Learning Academy Charter School receives an additional grant amount of $2,304.13 per RSA 194-B:11, I(b)(1)(B).
2 Differential aid for special education is sent to the responsible school district.
",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
