,,,"December 15, 2009",
New Hampshire Department of Education,,,,
Division of Career Technology and Adult Learning,,,,
Bureau of Career Development,,,,
,,,,
School Year 2008-2009 CTE Tuition and Transportation Distribution,,,,
,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,
State Total," 6,629,501.72 "," 790,341.40 "," 7,419,843.12 ",
Bath, -   , 465.12 , 465.12 ,
Bedford, -   ," 4,439.76 "," 4,439.76 ",
Benton," 4,935.76 ", 443.36 ," 5,379.12 ",
Berlin," 35,876.77 ", -   ," 35,876.77 ",
Bow, -   ," 4,547.52 "," 4,547.52 ",
Claremont," 12,427.44 "," 4,886.40 "," 17,313.84 ",
Columbia, -   ," 3,340.80 "," 3,340.80 ",
Concord," 677,109.76 ", -   ," 677,109.76 ",
Contoocook Valley," 73,112.48 ", -   ," 73,112.48 ",
Dover," 277,725.49 "," 36,900.00 "," 314,625.49 ",
Dresden," 9,507.44 ", 323.52 ," 9,830.96 ",
Epping, -   ," 11,886.08 "," 11,886.08 ",
Exeter Region Cooperative," 1,239,783.98 ", -   ," 1,239,783.98 ",
Fall Mountain Regional," 261,937.50 "," 26,594.08 "," 288,531.58 ",
Farmington, -   ," 6,590.84 "," 6,590.84 ",
Franklin, -   ," 9,032.64 "," 9,032.64 ",
Gilford, -   ," 5,960.96 "," 5,960.96 ",
Goffstown, -   ," 24,030.56 "," 24,030.56 ",
Gorham Randolph Shelburne Coop, -   ," 3,196.48 "," 3,196.48 ",
Governor Wentworth Regional," 141,215.01 ", -   ," 141,215.01 ",
Haverhill Cooperative," 104,300.70 "," 6,685.76 "," 110,986.46 ",
Hillsboro-Deering Cooperative, -   ," 18,344.80 "," 18,344.80 ",
Hinsdale," 56,501.25 "," 2,206.60 "," 58,707.85 ",
Hollis/Brookline Cooperative, -   ," 4,224.80 "," 4,224.80 ",
Hopkinton, -   ," 2,273.60 "," 2,273.60 ",
Hudson," 160,451.96 "," 2,426.40 "," 162,878.36 ",
Inter-Lakes Cooperative, -   ," 10,514.20 "," 10,514.20 ",
Jaffrey-Rindge Cooperative, -   ," 9,576.96 "," 9,576.96 ",
John Stark Regional, -   ," 13,612.80 "," 13,612.80 ",
Kearsarge Regional, -   ," 121,500.00 "," 121,500.00 ",
Keene," 182,441.44 ", -   ," 182,441.44 ",
Laconia," 668,671.32 ", -   ," 668,671.32 ", 
Lebanon," 371,571.85 "," 13,550.40 "," 385,122.25 ", 
Lincoln-Woodstock Cooperative, -   ," 7,201.28 "," 7,201.28 ", 
Lisbon Regional, -   ," 21,500.00 "," 21,500.00 ", 
Litchfield, -   ," 2,544.80 "," 2,544.80 ", 
Littleton," 365,662.68 "," 23,070.81 "," 388,733.49 ", 
Londonderry, -   ," 22,001.28 "," 22,001.28 ",
Lyme," 27,075.85 ",," 27,075.85 ",
Manchester," 492,478.00 ", -   ," 492,478.00 ", 
Mascenic Regional," 55,015.16 "," 7,031.20 "," 62,046.36 ", 
Mascoma Valley," 200,928.71 "," 17,541.60 "," 218,470.31 ", 
Merrimack, -   ," 8,099.12 "," 8,099.12 ", 
Merrimack Valley, -   ," 18,035.20 "," 18,035.20 ", 
Milford," 193,357.58 "," 2,184.48 "," 195,542.06 ", 
Milton, -   ," 3,790.08 "," 3,790.08 ", 
Monadnock Regional," 7,353.60 ", -   ," 7,353.60 ", 
Moultonboro, -   ," 5,656.32 "," 5,656.32 ", 
Nashua," 137,907.74 "," 2,810.40 "," 140,718.14 ", 
Newfound Area, -   ," 5,431.20 "," 5,431.20 ",
Newmarket, -   ," 11,882.24 "," 11,882.24 ",
Newport," 31,833.42 "," 2,796.80 "," 34,630.22 ",
Northumberland, -   ," 39,304.80 "," 39,304.80 ",
Oyster River Cooperative, -   ," 5,023.30 "," 5,023.30 ",
Pelham, -   ," 8,921.72 "," 8,921.72 ",
Pembroke, -   ," 9,174.72 "," 9,174.72 ",
Pemi-Baker Regional," 45,944.37 ", -   ," 45,944.37 ",
Piermont," 41,660.26 ", -   ," 41,660.26 ",
Pittsfield, -   ," 3,600.00 "," 3,600.00 ",
Profile," 15,848.76 "," 6,193.88 "," 22,042.64 ",
Raymond, -   ," 21,259.20 "," 21,259.20 ",
Rochester," 54,518.45 "," 36,900.00 "," 91,418.45 ",
Salem," 122,983.62 "," 3,163.36 "," 126,146.98 ",
Sanborn Regional," 10,517.25 "," 16,823.52 "," 27,340.77 ",   
Shaker Regional, -   ," 8,615.20 "," 8,615.20 ",
Somersworth," 148,963.08 "," 36,900.00 "," 185,863.08 ",
Souhegan Cooperative, -   ," 1,524.72 "," 1,524.72 ",
Sunapee, -   , 84.48 , 84.48 ,
Timberlane Regional, -   ," 20,565.76 "," 20,565.76 ",
Warren," 19,743.04 "," 1,838.04 "," 21,581.08 ",
White Mountains Regional," 59,756.85 "," 10,572.32 "," 70,329.17 ",
Wilton-Lyndeboro Cooperative, -   ," 3,022.40 "," 3,022.40 ",
Winnacunnet Cooperative, -   ," 11,681.60 "," 11,681.60 ",
Winnisquam Regional," 97,802.08 "," 4,828.32 "," 102,630.40 ",
Pinkerton Academy," 72,969.26 "," 23,755.42 "," 96,724.68 ", 
Prospect Mountain, -   ," 4,750.08 "," 4,750.08 ",
,,,,
Tuition & Transportation  Alternative Education,,,,
,,,,
Concord," 17,616.04 ", -   ," 17,616.04 ",
Exeter Region Cooperative," 8,553.07 ", -   ," 8,553.07 ",
Kearsarge Regional, 90.00 , -   , 90.00 ,
Laconia," 94,596.71 ", -   ," 94,596.71 ",
Monadnock Regional," 15,686.46 ", -   ," 15,686.46 ",
Newport, -   , 597.87 , 597.87 ,
Rochester," 13,069.53 ", -   ," 13,069.53 ",
Shaker Regional, -   , 973.28 , 973.28 ,
Winnisquam Regional, -   ," 1,136.16 "," 1,136.16 ",
,,,,
 ,   ,   ,   ,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
